Species	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
Bacteria|Firmicutes|Clostridia|Clostridiales|Heliobacteriaceae|Hydrogenispora|Unassigned	0.120043717413506	0.0650030695893973	0.0954089226424455	0.0837739221088689	0.0566793014276099	0.0783470592522411	0.0404310299365409	0.0442658073197939	0.0484532240029817	0.0572261911354784	0.0694830461367426	0.0623562882419424	0.043170902811505	0.0710309080437704	0.0405455215628456	0.117435632817921	0.0370403033777229	0.0971069458949413	0.0702728342790886	0.0577937694587893	0.0898652021967049	0.0812792649527343	0.0557203199424822	0.0534950071326676	0.0417142753504906	0.0558347292015634	0.0480159138457317	0.0683023276714299	0.0274293237757379	0.0867824947310628
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Acetatifactor|Unassigned	0.874348270116281	0.854068108771803	0.830057626989276	1.69409486931268	0.320592298699919	0.592158005976241	1.59614674705996	3.81571259096623	4.14088706671636	1.50080301268206	2.28946637020567	2.44163841147356	3.35473890597737	1.61259358802073	4.09325469959454	0.82204942972545	2.12893553223388	1.35033620989758	2.2434602343599	0.673017766923321	0.639041437843235	0.648467179079424	0.889727689404152	2.17902995720399	0.556794892721766	0.630134800989072	0.878005281750523	0.116832928911656	3.99553816333248	0.1009510652994
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerocolumna|Unassigned	1.25777148692957	1.30908959589758	0.219440522077625	0.642266736167995	0.75631442842467	0.550251439399461	0.720727055390511	0.869380455760752	0.471487141259784	0.906389027339351	0.623610339077265	0.430648115670915	0.554026586080981	0.860049913611058	0.486546258754147	0.53557765876052	0.58206191022136	0.718224958317301	0.686916955078091	1.44670855161356	0.443334997503744	0.351621167947699	0.801653635301519	0.581312410841655	0.310136568910169	0.35295525245274	0.413279829886477	0.0557203199424822	3.16900120689025	0.0779271381258523
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerosporobacter|Unassigned	0.00179169727482844	0	0.00763271381139564	0.199195770347755	0	0.0819911085197872	0.181060699281031	0.0478070719053774	0.355944837868058	0.450425504421185	0.8233740967204	0.958727931719864	0.107927257028763	0.556728738721444	0.416513085145595	0	0.0952464943998589	0.199710511368841	0.115950176560496	0.00559294543149574	0.0119820269595607	0.192596519127131	0.693807854767682	0.312054208273894	0.10337885630339	0.446677833612507	0.0994615358233014	0.0161768670800755	0.148118348388984	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotaenia|Unassigned	0.0412090373210542	0.0722256328771081	0.0572453535854673	0.502643532653213	0.0389670197314818	0.165804241673347	0.181060699281031	0.127485525081006	0.104360790160268	0.0609182034667996	0.0868538076709283	0.0467672161814568	0.0737502923029878	0.0614321366865041	0.123479542941393	0.0587178164089607	0.0564423670517682	0.0787848806317448	0.0509478048523392	0.100673017766923	0.0399400898652022	0.0300379892216627	0.0269614451334592	0.0677603423680457	0.021763969748082	0.0259232671292973	0.0342970813183798	0.0197717264312034	0.0713162418169184	0.0850114234100207
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerotignum|Unassigned	0.301005142171179	0.299736376439999	0.0725107812082586	0.093082135676521	0.474689149456233	0.0182202463377305	0.121293089809623	0.0177063229279176	0.0670890793887439	0.0775322589577449	0.0660088938299055	0.0643049222495031	0.116921195114493	0.0806296794010367	0.0442314780685588	0.0907457162683938	0.0705529588147103	0.111764598105498	0.0527046257093164	0.329983780458249	0.0678981527708437	0.0901139676649881	0.253437584254516	0.115905848787447	0.0725465658269402	0.0658052165589854	0.0463010597798127	0.0143794374045115	0.314522912628461	0.0035421426420842
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|Unassigned	0.66830308351101	0.236538947672529	0.440789222608098	1.0406582768635	0.21431860852315	0.515632971357773	0.36739501116248	0.580767392035696	0.680208721580321	0.862084879363497	1.61200667037243	2.30913129895943	0.120518770348785	1.67594547897869	1.19240692959823	0.0854077329584883	0.292794779081048	0.545997544843255	0.370689200822192	0.316933574451425	1.17423864203694	0.238536973230851	0.161768670800755	0.682952924393723	0.355478172552007	0.187445162319534	0.156051719998628	0.940055720319942	0.195662509600263	0.478189256681367
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Clostridium_XlVa|Unassigned	1.4423163062369	0.305153298905782	0.549555394420486	0.724179015563333	0.203691239505473	1.22804460316303	1.10921651695466	1.28547904456681	0.890793887439433	0.308283029665319	0.601028349082824	1.50629408784442	0.791466551544259	1.49356882319063	1.50755621083671	0.989306240102489	0.804303730487697	0.513017827369501	0.620157762512957	0.413877961930685	1.49575636545182	0.864033925258415	3.26233486114856	1.58880171184023	0.761738941182872	0.63811119087501	0.437287786809342	0.0593151792936101	0.599787879896134	0.0619874962364734
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eisenbergiella|Unassigned	2.11778617884722	1.29103318767831	2.57222455444033	3.2373966788294	0.681922845300932	3.26324611908753	4.16615395433051	5.06046709279884	2.64629146477823	4.11474774325746	6.02765425236242	5.33146264468608	7.85710431169392	4.24841620272605	7.03096203464799	1.43057952705468	8.95669812152747	6.31744810275014	3.74905570878937	2.18124871828334	1.69945082376435	5.25841505433342	4.85485755369821	8.09914407988588	6.26076863086494	4.62032384142937	8.96525705662448	0.345106497708277	5.39077643272501	0.28691355400882
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Enterocloster|Unassigned	2.31308118180352	9.73240403019031	5.09674464755944	3.62834164867079	9.49732544546389	2.13176882151447	6.85393850967708	12.8441666519114	5.94670145359672	4.50610105037751	4.61888549193997	4.55980357769204	8.05497094957998	6.73449798425801	4.8599336527829	3.53730360669739	3.26307434518035	5.8282489602228	3.84041039335219	5.246182814743	1.03045431852222	2.61683894336956	1.58713040352296	9.68259629101284	2.25075720478082	5.97631012203877	7.87289501663408	0.337916779006021	10.5529751673189	0.398491047234472
