Genus	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	HD10	HD11	HD12	HD13	HD14	HD15
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalicatena	0.0473450360550659	0.0467751156384803	0.0510914184034813	0.0375509925410074	0.0435130713266265	0.013615862479789	0.0138291068125637	0.0104597039903771	0.0165538247612111	0.00830550987525124	0.030614392591317	0.0256175663311985	0.0104148585315049	0.0242977029325458	0.0312287598508367	0.0412090373210542	0.0108338449315662	0.0190817845284891	0.00744657085412168	0.00885614084806405	0.0163982217039574	0.00527361260041837	0.0318713812702516	0.0298173686172195	0.0239980801535877	0.0156336853807671	0.0253322420982891	0.00539636285143813	0.0249568055288923	0.0129008477699963
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalimonas	0.0182096292519484	0.0502399390191085	0.0281883687743345	0.155324560055985	0.114874508302294	0.107224917028338	0.0829746408753824	0.0453253839583006	0.0827691238060554	0.297337253533994	0.0688823833304632	0.0640439158279963	0.0815830584967888	0.0691550006541689	0.17451365798997	0.116460322863849	0.066808710411325	0.0763271381139564	0.141484846228312	0.0690778986148996	0.158516143138255	0.0808620598730817	0.16112753864405	0.0354081252329482	0.0258440863192483	0.32657031684269	0.210452472816556	0.174482398863166	0.0844691879439432	0.0903059343899742
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Herbinix	0	0	0	0	0	0	0	0	0	0	0	0	0.00173580975525082	0	0	0.00179169727482844	0.0036112816438554	0.114490707170935	0.00372328542706084	0	0.036440492675461	0	0.378915310657436	0.00745434215430488	0	0.217134519177321	0	0.266220567337614	0.00191975427145325	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hespellia	0.0364192585038969	0.0277185870450254	0.0317119148711263	0.179220646218444	0.121836599714554	0.328482682324909	0.0968037476879462	0.115056743894148	0.446953268552699	0.345509210810452	0.0382679907391462	0.0640439158279963	0.135393160909564	0.0168214866456087	0.106545180667561	0.180961424757673	0.101115886027951	0.062969888944014	0.13217663266066	0.0974175493287045	0.165804241673347	0.0457046425369592	0.309860651238557	0.093179276928811	0.138450462424545	0.279669260700389	0.120815308468763	0.23204360261184	0.220771741217124	0.309620346479912
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hungatella	0.264039624153252	0.133395700154185	0.121562340339317	1.85023981429327	0.751905872524106	0.67228320993958	0.625767083268509	0.207450795809145	1.26636759423265	1.13785485290942	1.13081912634177	0.349496797804209	0.322860614476653	3.17552286787657	1.05626687730771	0.551842760647161	3.86407135892528	0.223256878983323	0.701839303000968	2.25477345991711	0.522921069892865	0.606465449048113	2.21683163057528	1.47968691762952	2.61948274907238	1.06482768204558	0.596282006313574	1.5235731117227	3.13303897101171	1.81533357906377
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Kineothrix	4.10445043338918	4.11621017618627	3.51297545850144	11.1236281086248	4.48880843805479	6.4777465747596	6.88689519265674	2.9182574133152	7.92431591319174	9.29220444843109	8.52036813807091	7.5224153705398	10.4790834924492	14.8029082481356	6.42761357165163	10.1678820346514	23.1428984146474	3.49005839026066	9.49623948171867	26.1681249778596	6.18212958239195	8.54325241267776	9.74910140411141	10.8125232948192	7.7901460190877	11.4282240133407	8.39276667056393	13.9621894842876	16.2353618736802	18.8591964614818
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiracea_incertae_sedis	0.986961905455605	1.71335516172063	0.946072126988601	3.93431990031918	6.3163574337731	1.18968598417156	2.4702242043942	0.676394191377717	1.47991193365227	2.19929901496653	1.10403153282437	0.620311070448307	1.46675924318695	0.332691624768705	1.21057369068832	2.31666457635318	1.99884438987397	1.42159294737244	2.37917938789188	1.10347514966878	2.21375993003425	2.19382284177404	1.25537829558936	1.51882221393962	1.15375385353787	1.13083657587549	2.23313457266456	0.980339251344594	2.66845843732002	1.97014375230372
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnotalea	0.00182096292519484	0.00173241169031409	0	0.00170686329731852	0.0087026142653253	0.0221257765296571	0.00345727670314094	0.0122029879887733	0.00165538247612111	0	0.00191339953695731	0.00731930466605672	0.00173580975525082	0.121488514662729	0	0.361922849515346	0.0018056408219277	0.0248063198870358	0.128453347233599	0.00354245633922562	0.00546607390131915	0.11777734807601	0.0106237937567505	0.18263138278047	0.0775322589577449	0	0.0077945360302428	0.00539636285143813	0.0671913995008639	0.00552893475856985
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lacrimispora	2.66042683370967	6.53812171924536	5.70109758460915	10.3982112072644	4.93960385699864	11.3130797378946	5.37606527338415	7.12480170144518	9.27179724875432	10.2705935117357	3.81914547576679	15.0741079597438	6.03020308974136	12.5918172812739	4.33161268989841	7.73117374088474	4.41479180961323	4.23806434377743	9.10715615459081	0.867901803110277	14.0696742219955	21.6182959199817	11.0186447580431	14.9217294073798	11.3695519743036	22.3110061145081	12.553100276706	15.001888726998	8.40852370896525	7.03833394765942
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Marvinbryantia	0.0528079248306504	0.0363806454965958	0.0475678723066895	0.0716882584873777	0.0504751627388868	0.0255297421496043	0.0328441286798389	0.0209194079807541	0.0711814464732076	0.0448497533263567	0.0631421847195913	0.0969807868252516	0.0503384829022739	0.063547838438966	0.157980785127762	0.204253489330443	0.281679968220722	0.0706026027554097	0.351850472857249	0.162952991604378	0.036440492675461	0.441225587568337	0.396621633585353	0.672754379426016	0.267670894020786	0.248401889938855	0.208503838808995	0.34536722249204	0.449222499520061	0.425727976409878
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Mediterraneibacter	0.0910481462597422	0.0710288793028775	0.214936311904301	0.208237322272859	0.102690848330839	0.0868011233086546	0.11236149285208	0.0627582239422624	0.0976675660911454	0.101327220478065	0.0172205958326158	0.0731930466605673	0.0520742926575247	0.0280358110760144	0.135936954644819	0.0949599555659076	0.258206637535661	0.0553371751326184	0.143346488941842	0.178894045130894	0.0601268129145106	0.128324573276847	0.0548896010765444	0.0782705926202013	0.059072197301139	0.0416898276820456	0.0175377060680463	0.0251830266400446	0.0326358226147053	0.0258016955399926
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Merdimonas	0.267681550003642	0.377665748488471	0.192033262275154	0.809053202928977	0.541302607303234	0.633137605310186	0.636138913377932	0.109826891898959	0.599248456355841	0.777395724323516	0.828501999502516	0.477584629460201	0.784586009373373	0.257929461899333	0.439039623785293	0.4031318868364	0.166118955617349	0.120215242529481	0.478442177377318	0.0832477239718021	0.160338167772028	0.277743596955368	0.224870301184553	0.598210957882967	0.225212752210592	0.804266259032796	0.420904945633111	0.600795064126779	0.345555768861586	0.394397346111316
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Muricomes	0.118362590137665	0.0692964676125634	0.0458060992582935	0.129721610596207	0.198419605249417	0.0646753467789975	0.228180262407302	0.019176123982358	0.109255243423993	0.116277138253517	0.091843177773951	0.0439158279963403	0.133657351154313	0.0112143244304058	0.0385767033451513	0.164836149284217	0.417103029865299	0.288134946380185	0.262491622607789	0.150554394417089	0.153050069236936	0.432436233234307	0.198310816792677	0.223630264629146	0.190138635063041	0.137229016120067	0.157839354612417	0.127713920817369	0.25340756383183	0.193512716549945
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Murimonas	0.00364192585038969	0.28411551721151	0.0493296453550854	0.0187754962705037	0.0121836599714554	0.0340396561994724	0.160763366696054	0.0244059759775465	0.0513168567597543	0.0714273849271607	0.030614392591317	0.00731930466605672	0.0138864780420066	0	0.0110219152414718	0.00358339454965689	0.0704199920551804	0.00190817845284891	0.00744657085412168	0.0354245633922562	0.00182202463377305	0.014062966934449	0	0.0204994409243384	0.0147680493252847	0.00347415230683713	0.0019486340075607	0	0.00575926281435976	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	0.0254934809527278	0.0415778805675381	0.0334736879195222	0.0375509925410074	0.0974692797716434	0.134456641987916	0.235094815813584	0.0244059759775465	0.514823950073664	0.161126891579874	0.0267875935174024	0.0475754803293687	0.0312445755945148	0.0280358110760144	0.0587835479545162	2.80042284055686	0.603084034523853	0.394992939739724	0.807952937672202	0.589818980481066	1.56511916041105	1.34301334223988	1.48378986135949	1.33619083115915	0.99499732329106	1.14820733740967	0.91975525156865	1.17101073876207	1.32463044730275	2.41430151124217
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Ruminococcus2	0.069196591157404	0.109141936489787	0.230792269339864	0.510352125898237	0.219305879486198	0.525912688281848	0.388943629103355	0.381779195648763	1.16538926318926	0.129565954053919	0.317624323134914	0.150045745654163	0.433952438812706	0.175691082743024	0.25534103642743	0.00358339454965689	0.00722256328771081	0.020989962981338	0.0130314989947129	0.0106273690176769	0.0145761970701844	0.0193365795348674	0.00531189687837527	0.00186358553857622	0.00553801849698178	0.0052112284602557	0.0058459020226821	0.00359757523429209	0.00383950854290651	0.00184297825285662
