OTUID	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
ASV_1158	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	9	0	1	1	18	5	0	1
ASV_1168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	3	2	0	1	0	0	1	1	2	7	6	5	2	5	3
ASV_1173	4	2	0	0	0	0	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	13	2	1	10	0	0	0	0
ASV_1200	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	4	0	1	0	0	1	0	1	3	0	8	12	0	7
ASV_1330	2	1	0	1	0	0	0	1	3	1	0	2	0	0	1	2	1	0	0	0	1	2	0	1	1	2	1	0	1	2	2	0	1	1	2	0	2	1	4	1	2	0	1	0	0
ASV_1331	0	2	3	18	0	3	0	0	0	0	0	5	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1382	0	0	0	0	0	1	0	5	0	0	1	0	0	3	0	0	0	0	0	0	0	10	0	0	0	5	0	0	0	0	2	0	6	0	0	0	0	4	1	2	0	1	0	2	0
ASV_1522	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	4	14	0	7	2	2	0	0	3	0	0	0	1	1	0	0
ASV_1524	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	4	1	0	0	16	1	1	5	1	6
ASV_1563	1	0	0	0	0	0	1	0	1	2	1	2	1	0	2	1	0	0	1	3	0	1	0	0	0	0	1	0	2	0	2	1	1	3	1	1	1	2	0	3	0	2	3	1	2
ASV_1167	0	0	1	6	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	4	6	5	0	0	0	0	0	0	0	0
ASV_1223	0	0	0	0	0	1	0	0	0	1	0	0	0	1	18	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	9	0	0	5	0	0	0	0	2	2	0	0
ASV_1236	0	1	1	3	3	0	1	3	0	0	3	1	0	2	0	2	0	4	1	0	3	0	1	2	0	1	1	0	1	3	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1
ASV_1332	0	5	1	0	0	0	0	2	1	1	0	0	1	1	3	0	0	0	0	0	3	0	8	1	0	1	0	1	2	0	4	0	1	0	1	4	0	0	0	1	0	0	0	0	0
ASV_1372	0	0	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	4	8	7	0	0	0	0	0	0	0	0
ASV_1378	2	1	0	1	1	0	0	1	3	0	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	2	3	3	3	1	1	1	1	2	2	3	0	0
