HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
ASV_153	17	15	160	309	206	254	71	14	10	121	4	9	16	19	68	7	1	6	29	6	18	10	163	179	193	16	3	3	2	17	364	391	24	110	9	43	5	121	58	70	36	241	172	54	725
ASV_138	71	98	53	68	64	127	94	210	144	129	63	81	246	110	114	90	172	136	219	5	314	0	135	117	281	101	116	85	137	56	55	57	14	7	18	4	4	36	18	59	104	35	126	7	62
ASV_154	42	104	67	45	164	95	90	54	18	46	67	10	60	91	62	18	21	53	101	8	69	14	138	88	98	242	9	55	20	104	71	79	40	150	1239	65	67	29	26	139	91	88	30	25	76
ASV_108	29	18	12	91	20	60	12	118	28	35	36	35	4	23	10	13	9	70	68	2058	27	464	28	43	27	58	63	28	15	17	66	26	123	52	29	17	83	29	28	46	21	21	38	29	43
ASV_159	23	124	42	38	75	55	63	16	18	22	17	16	71	183	34	27	206	23	295	17	346	9	103	14	70	47	12	96	130	37	36	180	167	121	49	54	86	127	55	48	283	259	313	25	185
ASV_272	373	557	33	20	39	58	175	18	92	419	112	11	234	227	711	4	21	7	7	7	0	3	197	23	368	105	10	8	5	39	15	26	2	8	14	3	9	13	24	13	5	2	30	2	45
ASV_127	35	169	44	72	10	77	65	63	110	194	81	156	70	31	203	103	224	261	115	2	211	4	120	100	99	112	414	185	45	64	104	37	22	33	12	1	31	38	86	45	59	30	35	37	27
ASV_1046	83	204	210	106	325	203	155	57	12	65	9	264	494	5	408	5	26	53	261	5	87	6	48	30	38	301	6	99	140	166	8	10	6	16	22	29	11	17	3	12	11	17	10	35	8
ASV_134	736	30	53	22	92	86	48	178	51	339	230	170	57	137	52	35	26	2	3	1	8	4	249	334	428	143	87	119	202	50	6	5	13	7	6	8	6	12	6	16	27	1	2	1	5
ASV_120	24	4	5	13	1	2	2	60	13	29	43	4	7	1	6	12	83	14	13	7	8	14	24	35	18	171	26	51	19	12	19	27	450	651	294	1010	613	15	19	9	5	20	59	45	41
ASV_105	34	7	19	14	4	6	9	22	59	18	22	8	3	2	5	138	197	20	76	43	35	2	11	13	4	9	190	20	28	21	160	60	75	60	119	8	87	835	253	40	583	16	237	506	33
ASV_167	187	219	44	165	102	130	94	70	281	583	56	47	173	281	85	85	11	29	67	12	37	5	272	109	258	28	9	8	82	69	14	64	35	23	13	51	15	10	10	14	5	17	30	2	39
