ANC	CMD	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Kineothrix	5e-04	0.000333333333333333	0.000410714285714286	0.00503333333333333
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0.000333333333333333	5e-04	4e-04	0.0330305555555556
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Unassigned	0.000916666666666667	-0.000166666666666667	0.000366666666666667	0.039823088023088
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Acetatifactor	0.00025	5e-04	0.000333333333333333	0.007875
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	0.001	2e-04	0.000333333333333333	0.0107638888888889
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Syntrophococcus	0.000333333333333333	5e-04	0.000333333333333333	0.00352777777777778
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Cellulosibacter	0	0.00075	0.000333333333333333	0.0174395604395604
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalicatena	0	7e-04	0.000325	0.0160553613053613
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acetivibrio	0.000416666666666667	8.33333333333333e-05	0.000321428571428571	0.0485892857142857
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allobaculum	0.00045	0	0.00030952380952381	0.0414662698412698
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0.000166666666666667	0.001	0.000285714285714286	0.0196666666666667
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned|Unassigned	0.000333333333333333	0.00025	0.000285714285714286	0.0474987373737374
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto	5e-04	2e-04	0.000285714285714286	0.022625
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerosporobacter	0.001	0.000166666666666667	0.000285714285714286	0.01845
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lacrimispora	0.000333333333333333	0.00025	0.000285714285714286	0.00604615384615385
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Ileibacterium	0.000333333333333333	0.00025	0.000285714285714286	0.00486111111111111
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Faecalimonas	0.00025	0	0.00025	0.00166666666666667
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus	0.000333333333333333	0	2e-04	0.00171428571428571
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned	0.00025	0	0.000142857142857143	0.0219722222222222
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hungatella	0.00025	0	0.000142857142857143	0.00676190476190476
Bacteria|Firmicutes|Clostridia|Clostridiales|Heliobacteriaceae|Hydrogenispora	0.000166666666666667	0.000166666666666667	0.000125	0.005
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Unassigned	0	0.00025	0.000125	0.00327272727272727
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Harryflintia	2e-04	0	0.000125	0.0042
