OTUID	All	HMAT	LMAT	MD	NC
ASV_358	0.036241	0.03754410	0.06071780	0.02289565	0.02380661
ASV_267	0.036514	0.068365294	0.054140182	0.002421365	0.021129706
ASV_289	0.034354	0.01194636	0.02819295	0.06988589	0.02738962
ASV_482	0.034937	0.02882428	0.03720373	0.03198524	0.04173547
ASV_387	0.033391	0.047416272	0.011076673	0.069964726	0.005107381
ASV_356	0.033919	0.02873550	0.07647254	0.01712487	0.01334132
ASV_340	0.033317	0.015210703	0.043565495	0.068704741	0.005786582
ASV_400	0.034855	0.003189799	0.115757673	0.019328200	0.001144541
ASV_544	0.034996	0.03386310	0.03277554	0.02709198	0.04625330
ASV_324	0.034226	0.03199280	0.01744419	0.03280117	0.05466560
ASV_406	0.033785	0.03096126	0.03654345	0.02624075	0.04139507
ASV_349	0.032611	0.045630825	0.042540329	0.035017422	0.007256474
ASV_468	0.032006	0.01879039	0.01788428	0.08034268	0.01100557
ASV_424	0.035442	0.001667033	0.006596120	0.001648830	0.131856541
ASV_363	0.034458	0.014129256	0.057708424	0.002354317	0.063640974
ASV_347	0.031718	0.047453629	0.033300686	0.042505446	0.003613218
ASV_384	0.032637	0.03805875	0.03145219	0.02314243	0.03789496
ASV_432	0.033854	0.03357760	0.02999435	0.01598023	0.05586418
ASV_346	0.03163	0.04072621	0.01630527	0.05766115	0.01182778
ASV_362	0.031316	0.040471909	0.021658331	0.054752476	0.008380199
