OTUID	ANC	BMD	CLMAT	DHMAT
ASV_105	0.740952510	0.005037902	0.002640217	0.003375830
ASV_96	0.02844529	0.18140146	0.24084034	0.22482221
ASV_137	0.08804129	0.15454690	0.20252997	0.19600424
ASV_143	0.2323926	0.1452004	0.1116922	0.1424708
ASV_115	0.2092374	0.1510781	0.1031027	0.1567095
ASV_129	0.08973533	0.07121209	0.30897789	0.19181092
ASV_1446	0.06960939	0.20964126	0.11376972	0.22401742
ASV_122	0.05141937	0.13721935	0.22895434	0.21352578
ASV_142	0.571117467	0.005607656	0.003392545	0.005126503
ASV_117	0.03012805	0.24889167	0.11076799	0.19818411
ASV_151	0.08727924	0.16599791	0.07604917	0.25086939
ASV_573	0.23086846	0.07186319	0.12588285	0.16753282
ASV_103	0.368343515	0.031894226	0.004192562	0.270814697
ASV_111	0.02396789	0.15569915	0.16568991	0.24816809
ASV_102	0.27975622	0.10571398	0.06481008	0.16008908
ASV_132	0.06829876	0.15783296	0.20224001	0.17433299
ASV_106	0.002110897	0.001170389	0.567870387	0.008907042
ASV_219	0.08802717	0.02859455	0.11727991	0.34834080
ASV_121	0.0832445	0.1972944	0.1230293	0.1627141
ASV_139	0.535065335	0.003210024	0.002772757	0.001866662
ASV_152	0.495306322	0.004495063	0.006639195	0.004702188
ASV_147	0.27522479	0.07283276	0.10572528	0.10463477
ASV_154	0.533185119	0.003004510	0.002747160	0.002080491
ASV_167	0.07202325	0.15617018	0.23493480	0.08724027
ASV_570	0.01912197	0.25733805	0.09016275	0.15655471
ASV_130	0.06029806	0.14296059	0.19914952	0.13631350
ASV_123	0.007204543	0.204855053	0.127693760	0.176871353
ASV_1343	0.007744668	0.201120580	0.104248460	0.203870370
ASV_170	0.08539929	0.10994358	0.13483452	0.20171207
ASV_125	0.13411131	0.10048789	0.21599270	0.08762153
ASV_126	0.002384535	0.157165211	0.234634395	0.136178942
ASV_1357	0.22131382	0.00757404	0.06884912	0.19353614
ASV_128	0.16549432	0.08256855	0.17513357	0.10731985
ASV_136	0.0402936	0.1606300	0.1172882	0.1760472
ASV_160	0.06374652	0.10800337	0.10972358	0.20867448
ASV_202	0.12087521	0.16825524	0.07283992	0.11377889
ASV_150	0.04840391	0.12508822	0.17376049	0.14692499
ASV_145	0.06280603	0.14413174	0.11388189	0.15321896
ASV_453	0.03343238	0.15324355	0.09491375	0.18408839
ASV_1445	0.02545975	0.10744118	0.14029570	0.18721408
ASV_174	0.02900356	0.16444644	0.09187931	0.16324139
ASV_156	0.011280859	0.013035282	0.454261048	0.004095423
ASV_195	0.432106257	0.003419035	0.003559845	0.002141773
ASV_173	0.05336810	0.09926966	0.14735970	0.14840733
ASV_141	0.20495439	0.07715927	0.07313681	0.09875676
ASV_166	0.15014014	0.02082957	0.19365236	0.08102856
ASV_159	0.408909544	0.002043495	0.044503187	0.003709704
ASV_192	0.01878788	0.16923297	0.02616867	0.20987179
ASV_162	0.03480524	0.08338289	0.22903724	0.07990689
ASV_1200	0.03296558	0.18634776	0.08213989	0.11550618
ASV_146	0.01275787	0.13369192	0.07854067	0.20263758
ASV_182	0.12513441	0.08657261	0.11234473	0.08626311
