module1	module2	Both	P1A2	P2A1	A1A2	p_raw	p_adj
LMATmodel_4-MDmodel_81	LMATmodel_4	MDmodel_8	3	22	5	341	0.0121357027374554	0.0121357027374554
LMATmodel_2-MDmodel_81	LMATmodel_2	MDmodel_8	2	11	6	352	0.0282145214951058	0.0282145214951058
LMATmodel_12-MDmodel_101	LMATmodel_12	MDmodel_10	2	3	5	361	0.00297742021479888	0.00297742021479888
LMATmodel_30-MDmodel_391	LMATmodel_30	MDmodel_39	3	0	1	367	4.73815476116443e-07	4.73815476116443e-07
LMATmodel_29-MDmodel_241	LMATmodel_29	MDmodel_24	1	2	2	366	0.0241277501286705	0.0241277501286705
LMATmodel_18-NCmodel_2	LMATmodel_18	NCmodel_2	2	2	42	448	0.0414727756368789	0.0414727756368789
LMATmodel_7-NCmodel_9	LMATmodel_7	NCmodel_9	2	12	10	470	0.0418829216105049	0.0418829216105049
LMATmodel_7-NCmodel_30	LMATmodel_7	NCmodel_30	2	12	6	474	0.0189670120748023	0.0189670120748023
LMATmodel_41-NCmodel_30	LMATmodel_41	NCmodel_30	4	0	4	486	2.8555437514765e-08	2.8555437514765e-08
LMATmodel_42-NCmodel_23	LMATmodel_42	NCmodel_23	1	3	4	486	0.0399951027261488	0.0399951027261488
LMATmodel_22-NCmodel_8	LMATmodel_22	NCmodel_8	2	1	18	473	0.00456674874128988	0.00456674874128988
LMATmodel_42-NCmodel_15	LMATmodel_42	NCmodel_15	2	2	1	489	0.000147417854104796	0.000147417854104796
LMATmodel_12-NCmodel_17	LMATmodel_12	NCmodel_17	1	4	3	486	0.0399951027261487	0.0399951027261487
HMATmodel_29-LMATmodel_65	HMATmodel_29	LMATmodel_6	2	1	11	331	0.00385906782184201	0.00385906782184201
HMATmodel_7-LMATmodel_75	HMATmodel_7	LMATmodel_7	2	2	12	329	0.00877717911708348	0.00877717911708348
HMATmodel_2-LMATmodel_95	HMATmodel_2	LMATmodel_9	4	5	1	335	1.07332080894285e-06	1.07332080894285e-06
HMATmodel_56-LMATmodel_425	HMATmodel_56	LMATmodel_42	4	1	0	340	8.6195279508622e-09	8.6195279508622e-09
HMATmodel_1-LMATmodel_415	HMATmodel_1	LMATmodel_41	3	8	1	333	9.55733259191601e-05	9.55733259191601e-05
HMATmodel_30-LMATmodel_115	HMATmodel_30	LMATmodel_11	1	2	2	340	0.0259354355637964	0.0259354355637964
HMATmodel_15-LMATmodel_205	HMATmodel_15	LMATmodel_20	1	3	2	339	0.0344798615676228	0.0344798615676228
HMATmodel_22-LMATmodel_295	HMATmodel_22	LMATmodel_29	1	2	2	340	0.0259354355637964	0.0259354355637964
HMATmodel_59-LMATmodel_305	HMATmodel_59	LMATmodel_30	3	2	0	340	1.47393927959744e-06	1.47393927959744e-06
HMATmodel_8-MDmodel_14	HMATmodel_8	MDmodel_1	4	1	25	307	0.000211447618263819	0.000211447618263819
HMATmodel_29-MDmodel_14	HMATmodel_29	MDmodel_1	2	1	27	307	0.0203574117542849	0.0203574117542849
HMATmodel_9-MDmodel_34	HMATmodel_9	MDmodel_3	2	2	15	318	0.0135659413269656	0.0135659413269656
HMATmodel_2-MDmodel_74	HMATmodel_2	MDmodel_7	5	4	11	317	1.39913784259457e-05	1.39913784259457e-05
HMATmodel_15-MDmodel_74	HMATmodel_15	MDmodel_7	2	2	14	319	0.0120189729428668	0.0120189729428668
HMATmodel_1-MDmodel_54	HMATmodel_1	MDmodel_5	4	7	4	322	4.0880940191316e-05	4.0880940191316e-05
HMATmodel_56-MDmodel_114	HMATmodel_56	MDmodel_11	4	1	2	330	1.41390530372079e-07	1.41390530372079e-07
HMATmodel_10-MDmodel_84	HMATmodel_10	MDmodel_8	2	1	6	328	0.00146596394880199	0.00146596394880199
HMATmodel_48-MDmodel_94	HMATmodel_48	MDmodel_9	2	1	4	330	0.000788501325504736	0.000788501325504736
HMATmodel_59-MDmodel_394	HMATmodel_59	MDmodel_39	4	1	0	332	9.4715442796021e-09	9.4715442796021e-09
HMATmodel_8-MDmodel_154	HMATmodel_8	MDmodel_15	1	4	2	330	0.0439820819598489	0.0439820819598489
HMATmodel_59-MDmodel_244	HMATmodel_59	MDmodel_24	1	4	2	330	0.0439820819598489	0.0439820819598489
HMATmodel_22-MDmodel_244	HMATmodel_22	MDmodel_24	1	2	2	332	0.0265474239653786	0.0265474239653786
HMATmodel_48-MDmodel_224	HMATmodel_48	MDmodel_22	1	2	3	331	0.0352910099776657	0.0352910099776657
HMATmodel_49-MDmodel_134	HMATmodel_49	MDmodel_13	2	2	1	332	0.000316665928517649	0.000316665928517649
HMATmodel_57-NCmodel_73	HMATmodel_57	NCmodel_7	2	1	56	402	0.0429657039967107	0.0429657039967107
