OTUID	HDA	HDB	HDC	MDA	MDB	MDC	NCA	NCB	NCC
ASV_162	0.15477520	0.21690196	0.12081719	0.22008210	0.15142902	0.06493354	0.03571271	0.01554563	0.07298272
ASV_222	0.005450429	0.004686805	0.009168285	0.006111548	0.006861199	0.006159596	0.281400312	0.300095285	0.403159064
ASV_256	0.03468448	0.09636560	0.11652478	0.15653565	0.26372447	0.07142971	0.08833628	0.09973390	0.11420015
ASV_198	0.06861776	0.06638004	0.40626377	0.06220561	0.06762644	0.27111972	0.05047143	0.01352593	0.04197736
ASV_226	0.26325945	0.15189106	0.12610402	0.20697898	0.07731254	0.02646643	0.04042967	0.07011399	0.05588746
ASV_215	0.002620764	0.006531939	0.007260645	0.002565123	0.003638888	0.004351190	0.003160157	0.647824290	0.296765968
ASV_220	0.001800287	0.001804675	0.009009301	0.001412759	0.001084952	0.002883591	0.047088629	0.087932349	0.839656860
ASV_171	0.18858528	0.07554048	0.02921393	0.11187984	0.06780331	0.03514300	0.20450345	0.10550434	0.16604092
ASV_210	0.08609727	0.17523238	0.04076023	0.13300437	0.29011344	0.11524062	0.05395055	0.03446367	0.05596505
ASV_1413	0.01976525	0.10929270	0.05757586	0.05928994	0.27465027	0.16191400	0.14888814	0.06918670	0.06396208
ASV_1035	0.099489222	0.246670123	0.209176907	0.082856690	0.112009119	0.145383470	0.003503298	0.004768931	0.072996894
ASV_172	0.03477805	0.05795992	0.21659831	0.04421405	0.16084566	0.18378092	0.13461771	0.06387545	0.07742242
ASV_189	0.03966131	0.02893988	0.07405621	0.04534257	0.08952168	0.26339017	0.20668377	0.11618422	0.09547361
ASV_208	0.050646593	0.236105444	0.015581067	0.121502487	0.389433214	0.122616523	0.011751046	0.005397853	0.017010968
ASV_1027	0.084101027	0.174656819	0.137345071	0.089004983	0.097646836	0.308633627	0.005261770	0.004751351	0.069094897
ASV_205	0.09692214	0.15792966	0.15748853	0.12640680	0.07733719	0.05083110	0.06571174	0.08715116	0.13153661
ASV_203	0.09240411	0.03229192	0.47294045	0.20538682	0.01790679	0.08530032	0.01857321	0.01378689	0.01657682
ASV_216	0.066059371	0.113225908	0.198454437	0.126258939	0.002913346	0.003978895	0.185425924	0.143621192	0.076342341
ASV_314	0.07917014	0.05555756	0.05261724	0.09651361	0.06781284	0.06596399	0.09248308	0.20172670	0.19780668
ASV_1314	0.009567389	0.007184906	0.036922026	0.009654053	0.058158360	0.408452100	0.228458989	0.029253248	0.119142440
ASV_223	0.16599217	0.13952951	0.14575747	0.09583718	0.07949584	0.05136675	0.03908984	0.04979432	0.15775107
ASV_1440	0.039905660	0.141038856	0.309534205	0.020402472	0.119060609	0.071060142	0.005249786	0.005773242	0.217470249
ASV_182	0.13167100	0.04602613	0.03671337	0.07576820	0.15210896	0.03393427	0.11039603	0.09576079	0.22179465
ASV_238	0.03804355	0.02895934	0.04971022	0.09061972	0.03066943	0.05569506	0.10039993	0.22780254	0.26678138
ASV_231	0.02136811	0.12610500	0.23314864	0.07692505	0.21588220	0.09568776	0.01701326	0.06235005	0.05730696
