OTUID	All	HDC	MDC	NCC
ASV_225	0.105884	0.02044121	0.24719536	0.05001497
ASV_507	0.101695	0.07472341	0.08625053	0.14411176
ASV_284	0.101669	0.11818537	0.14656330	0.04025828
ASV_385	0.101928	0.006062704	0.003691715	0.296030293
ASV_196	0.099738	0.08702711	0.11495555	0.09723196
ASV_448	0.099474	0.004386521	0.002417476	0.291618088
ASV_336	0.096585	0.03052297	0.23168326	0.02754821
ASV_1448	0.093358	0.21611642	0.03461821	0.02934064
ASV_216	0.093489	0.195574494	0.002472634	0.082420719
ASV_397	0.095064	0.08664915	0.04171763	0.15682432
ASV_234	0.093444	0.15818017	0.09678032	0.02537294
ASV_110	0.094277	0.032020629	0.249561659	0.001250128
ASV_398	0.091558	0.15841418	0.07336561	0.04289544
ASV_447	0.096059	0.004975173	0.266613777	0.016587026
ASV_1297	0.093332	0.0043352548	0.0006095405	0.2750514557
ASV_140	0.091513	0.12167611	0.05098764	0.10187670
ASV_180	0.091292	0.05913667	0.05106134	0.16367852
ASV_291	0.0903	0.1581360287	0.0006095405	0.1121554852
ASV_271	0.089907	0.17889805	0.03275658	0.05806786
ASV_293	0.089154	0.214918387	0.001901016	0.050643763
ASV_183	0.09145	0.02280333	0.08262758	0.16892026
ASV_481	0.092632	0.267910533	0.005575496	0.004411270
ASV_155	0.090572	0.06600726	0.02665084	0.17905866
ASV_334	0.089336	0.250055193	0.007506879	0.010446210
ASV_413	0.09285	0.250253402	0.023330127	0.004965496
ASV_184	0.088476	0.07196516	0.06255297	0.13090984
ASV_214	0.086658	0.14611290	0.09482970	0.01903235
ASV_166	0.086653	0.03865907	0.20648410	0.01481530
ASV_171	0.085216	0.004904654	0.056791803	0.193952614
ASV_275	0.08517	0.064692052	0.181521325	0.009297966
ASV_1505	0.082917	0.12504876	0.05296104	0.07074258
ASV_98	0.08308	0.12751121	0.01220525	0.10952297
ASV_210	0.082903	0.01737617	0.18434034	0.04699288
ASV_173	0.08312	0.13392615	0.02511525	0.09031913
ASV_532	0.087779	0.0006399181	0.2614475651	0.0012501285
ASV_309	0.081091	0.110535251	0.129630784	0.003107812
ASV_246	0.08042	0.002386621	0.043558716	0.195314109
ASV_290	0.084819	0.02972065	0.18356401	0.04117203
ASV_105	0.079903	0.02393462	0.07807087	0.13770410
ASV_435	0.079776	0.206619819	0.023512184	0.009196081
ASV_848	0.079851	0.01052937	0.07298905	0.15603313
ASV_151	0.080437	0.12813573	0.08421848	0.02895618
ASV_57	0.079671	0.02762033	0.01570670	0.19568693
ASV_30	0.08021	0.05054756	0.18758374	0.00249787
ASV_229	0.079995	0.05034978	0.09329676	0.09633921
ASV_254	0.078633	0.05148522	0.05031061	0.13410388
ASV_648	0.077673	0.003736976	0.226224362	0.003056870
ASV_496	0.078467	0.03970380	0.17190421	0.02379251
ASV_141	0.079088	0.08568302	0.06010925	0.09147083
ASV_80	0.075954	0.023250947	0.009725062	0.194886673
ASV_331	0.073174	0.189541667	0.009766434	0.020214829
ASV_475	0.077818	0.227825029	0.003158020	0.002470013
ASV_226	0.076212	0.14267549	0.03518506	0.05077691
ASV_1605	0.0747	0.1759915	0.0315160	0.0165918
ASV_423	0.073218	0.204210720	0.010475287	0.004967883
ASV_1470	0.07423	0.009959972	0.002455398	0.210276055
ASV_407	0.0749	0.04077464	0.04258984	0.14133492
ASV_467	0.07447	0.2202476568	0.0006646992	0.0024978704
ASV_1147	0.071988	0.03520433	0.16706719	0.01369331
ASV_1553	0.072531	0.169679598	0.041144691	0.006769851
ASV_426	0.071008	0.001279836	0.209248999	0.002495484
ASV_348	0.071766	0.03998492	0.06486982	0.11044245
ASV_208	0.075107	0.006692996	0.201981870	0.016647515
ASV_253	0.072212	0.095748979	0.119025879	0.001860071
ASV_218	0.070499	0.03524597	0.10305781	0.07319409
ASV_410	0.071191	0.091375898	0.116672366	0.005524496
ASV_236	0.070913	0.11139815	0.07711988	0.02422071
ASV_278	0.067834	0.006853288	0.069520869	0.127128345
ASV_175	0.070497	0.14265669	0.05818687	0.01064759
ASV_162	0.070517	0.03535797	0.10702428	0.06916990
ASV_277	0.068239	0.08375089	0.07099757	0.04996719
ASV_316	0.069902	0.168736375	0.039111854	0.001857684
ASV_235	0.067586	0.004255109	0.052767826	0.145736210
ASV_269	0.066797	0.06762341	0.04375999	0.08900719
ASV_169	0.067204	0.14566107	0.03849263	0.01745723
ASV_258	0.064815	0.13900619	0.03445077	0.02098793
ASV_509	0.063183	0.003756229	0.043853887	0.141938397
ASV_260	0.0636	0.11646568	0.05106134	0.02327330
ASV_301	0.062953	0.007879926	0.008661121	0.172319230
ASV_289	0.063582	0.008811548	0.003636557	0.178299344
ASV_306	0.063119	0.06934562	0.04993945	0.07007274
ASV_124	0.063101	0.07718988	0.10151923	0.01059426
ASV_252	0.060719	0.05721058	0.09241633	0.03253066
ASV_1368	0.058815	0.03387095	0.07085161	0.07172105
ASV_470	0.060665	0.02998245	0.01851374	0.13349953
ASV_428	0.059375	0.037716888	0.136046821	0.004362714
ASV_1542	0.059473	0.07205049	0.09085808	0.01551120
ASV_1240	0.058285	0.054439127	0.119167319	0.001247742
ASV_150	0.059663	0.05705992	0.07412734	0.04780283
ASV_372	0.060146	0.06137279	0.08477008	0.03429576
ASV_673	0.059452	0.07918256	0.02962335	0.06955012
ASV_391	0.058238	0.006955820	0.165312945	0.002444541
ASV_464	0.058432	0.04307252	0.10163396	0.03058862
ASV_190	0.059741	0.02220506	0.06909095	0.08792714
ASV_228	0.058993	0.006194116	0.043572356	0.127213523
ASV_468	0.058275	0.06156720	0.05638451	0.05687473
