Species	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Frisingicoccus|Unassigned	0.146347220583028	0.110347594924011	0.0244104867451057	0.0920716112531969	0.0423676012461059	0.0847996608013568	0.118257511765416	0.168918918918919	0.283860502838605	0.125631235373814	0.182182002807395	0.243990601843485	0.039542363051616	0.100408479952534	0.0556483027267668	0.199119190404798	0.0527863660357439	0.0530000836843427	0.0891501819145604	0.06609203315617	0.0555362721277334	0.0492404658148066	0.0736467411317049
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Fusicatenibacter|Unassigned	0.0306857075416027	0.0401263981541857	0.0366157301176585	0.0588235294117647	0.0598130841121495	0.0185499258002968	0.0627488837938941	0.00241312741312741	0.0430859691808597	0.0418770784579382	0.0328524923095302	0.0609976504608711	0.0738124110296831	0.0273841308961457	0.0811537748098683	0.00937031484257871	0.0150818188673554	0.0306842589751458	0.0192757150085536	0.0688458678710104	0.0439662154344556	0.0123101164537017	0.0589173929053639
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hungatella|Unassigned	0.009441756166647	0.00752369965390982	0.253869062149099	0.0127877237851662	0.849844236760125	0.0317998728005088	0.0168939302522022	0.0217181467181467	0.00506893755068938	0.0541938662396847	0.00597318041991458	0.00677751671787457	0.793483418569094	0.162022774468862	0.127527360415507	0.00702773613193403	0.18600909936405	0.00557895617729923	0.0072283931282076	0.00826150414452125	0.638667129468934	0.0172341630351823	0.0122744568552842
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Kineothrix|Unassigned	7.99716747315001	8.3312434167628	6.4663379387785	4.09718670076726	13.595015576324	2.88053847784609	11.0389767105104	7.85714285714286	10.3735806974858	10.8880403990639	7.66657706896037	6.70974155069583	11.0718616544525	13.908856484334	6.85865331107401	5.66904047976012	7.10605032300229	5.47016653184189	5.26708912608727	3.22474045107813	11.6371630220988	5.6528054755398	7.67644531729471
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospiracea_incertae_sedis|Unassigned	1.23687005783076	4.03270301449566	0.81286920861202	2.0920716112532	1.43800623052959	1.78079287682849	1.39254253650296	1.11486486486486	1.34073398215734	1.30804286242148	1.94725681689215	0.833634556298572	1.00964833658459	1.65673991921681	7.03487293637544	0.562218890554723	0.801850036447729	0.86473820748138	0.638508059658338	1.21719494395946	2.94573643410853	1.04882192185538	1.44347612618142
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira|Unassigned	0.398914198040836	0.00501579976927321	0.0122052433725528	0.365728900255754	0.00747663551401869	0.352448590205639	0	0.00241312741312741	0.00253446877534469	0.0394137209015889	0	0	0	0	0.00231867928028195	0.00468515742128936	0.0100545459115703	0.340316326815253	0.710791990940414	0.702227852284306	0.00231401133865556	0.182189723514784	0.0270038050816251
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnotalea|Unassigned	0.0708131712498525	0	0.00244104867451057	0.20460358056266	0.00747663551401869	0.0026499894000424	0.200313744418969	0.0892857142857143	0.00253446877534469	0.0541938662396847	0.206074724487053	0.0677751671787457	0.0316338904412928	0.00684603272403642	0.0231867928028195	0	0.0100545459115703	0	0.0289135725128304	0.236829785476276	0	0.288056725016619	0.127654351294955
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lacrimispora|Unassigned	7.84609937448365	12.2159803380649	13.9969730996436	5.28132992327366	19.195015576324	6.35202459190163	11.1765415711355	8.40974903474903	12.0463300892133	17.1030915137332	7.88161156407729	11.492409181276	14.2431591711921	14.0366490951827	16.6968094973103	7.78204647676162	15.8132870824221	5.62637730480627	12.9219574488591	4.78891856910748	20.8515561726252	12.3273506167368	7.87774640972137
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Marvinbryantia|Unassigned	1.22270742358079	0.338566484425942	0.368598349851096	1.00255754475703	0.737694704049844	1.47869408522366	2.10932786291782	2.51930501930502	0.724858069748581	1.7834708707969	1.63067825463668	0.702602566419664	0.326883534560025	3.90452066360877	2.0427564459284	1.97479385307346	0.500213659100621	0.209210856648721	0.20962340071802	0.275383471484042	4.68587296077751	1.07836620134426	0.414876641708604
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Mediterraneibacter|Unassigned	0.361147173374248	0.744846265737072	0.3002489869648	0.278772378516624	1.0417445482866	0.51939792240831	0.400627488837939	0.258204633204633	0.707116788321168	0.573962310629388	0.316578562255473	0.467648653533345	0.76712184320135	0.629835010611351	0.524021517343721	0.304535232383808	0.256390920745042	0.125526513989233	0.322868226393273	0.19827609946851	0.499826449149601	0.123101164537017	0.220940223395115
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Merdimonas|Unassigned	0.295054880207719	0.0175552991924562	0.0146462920470634	0.0920716112531969	0.0573208722741433	0.204049183803265	0.506817907566067	0.296814671814672	0.136861313868613	0.332553270107156	0.226980855956754	0.962407373938189	0.0500869931987135	0.435864083430319	0.262010758671861	1.06821589205397	0.100545459115703	0.0641579960389411	0.402380550803556	0.451628893233828	0.136526668980678	0.485018588275845	0.807659261077697
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Muricomes|Unassigned	0.0047208780833235	0.00752369965390982	0.0927598496314017	0.00767263427109974	1.01682242990654	0.225249099003604	0.0337878605044045	0.0337837837837838	0.167274939172749	0.00492671511269861	0.0567452139891885	0.0745526838966203	0.680128644487795	0.175714839916935	0.248098682990169	0	0.120654550938843	0.00557895617729923	0	0.00275383471484042	0.261483281268078	0.00246202329074033	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|Unassigned	0.146347220583028	0.0927922957315544	0.163550261192208	0.457800511508951	0.0598130841121495	0.177549289802841	0.246168697960661	0.482625482625483	0.0963098134630981	0.100997659810321	0.179195412597438	0.119736128682451	0.150260979596141	0.0935624472284977	0.602856612873307	0.0983883058470765	0.542945479224795	0.702948478339703	0.595137700889092	0.718750860573348	0.0509082494504223	0.280670655144398	0.490978274211366
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Ruminococcus2|Unassigned	0.0802549274164995	0.0451421979234589	0	0.194373401534527	0	0.0052999788000848	0.00241341860745746	0.00241312741312741	0.0481549067315491	0.14041138071191	0	0.00225917223929152	0.0316338904412928	0.00456402181602428	0.00231867928028195	0	0.00251363647789257	0.184105553850875	0.0337325012649688	0.115661058023297	0.00462802267731112	0.00492404658148066	0.00736467411317049
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Schaedlerella|Unassigned	0.627876785082025	0.416311380849677	0.590733779231558	0.823529411764706	1.29595015576324	0.479648081407674	1.25015083866297	1.71814671814672	0.435928629359286	0.391673851459539	0.522653286742526	1.03696005783481	0.585226973163916	1.28933616302686	0.271285475792988	0.351386806596702	0.447427293064877	0.284526765042261	0.515625376478809	0.872965604604412	0.851556172625246	0.228968166038851	0.780655455996072
