#OTUID	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_999	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	2	7	9	8	3	6	5	0
ASV_916	0	0	0	3	1	0	3	0	0	0	0	0	1	2	1	0	0	2	9	4	0	3	3	1	0	0	5	0	6	2	0	0	1	2	0	1	1	1	0	1	1	1	1	0	0	1	3
ASV_1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	2	0	0	1
ASV_1029	0	0	2	0	1	3	1	0	0	1	3	1	1	4	1	0	0	0	0	0	0	0	3	0	0	3	0	0	2	0	1	0	1	1	1	0	1	2	3	2	2	5	2	3	4	1	4
ASV_1150	1	0	0	1	1	1	0	0	2	1	1	1	0	4	2	4	2	0	1	0	2	0	0	7	5	0	0	2	2	1	1	1	2	1	1	1	1	3	0	3	1	0	2	0	0	0	1
ASV_1340	2	1	0	0	1	0	0	1	4	0	0	1	0	1	0	0	5	9	6	2	0	2	1	4	2	0	0	2	1	3	1	0	0	3	0	3	0	0	0	0	3	0	0	0	0	1	0
ASV_998	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	4	28	8	1	2	1	5	0	0	2
ASV_1013	0	0	0	0	4	7	0	0	0	0	0	0	6	2	2	0	0	0	0	0	3	5	0	1	0	0	0	0	9	4	0	1	0	0	0	0	5	2	0	0	0	0	0	0	1	6	0
ASV_1014	0	0	4	0	8	2	1	1	1	0	0	0	6	1	1	1	1	0	0	0	6	0	0	1	0	0	0	0	7	0	0	0	1	0	0	0	10	0	0	1	1	0	0	1	3	0	0
ASV_1097	0	0	0	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0
ASV_849	0	0	0	13	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	12	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0
ASV_910	3	0	0	0	0	5	1	2	0	0	0	0	4	0	3	1	1	0	5	5	0	2	1	0	0	0	1	0	2	3	0	1	0	0	0	2	1	1	0	5	5	2	1	0	0	1	0
ASV_983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	1	18	5	0	0	0	1
ASV_984	4	3	4	3	3	2	0	1	0	2	0	1	3	0	1	1	0	2	1	4	0	1	0	0	0	4	0	2	0	0	0	0	0	1	1	3	2	0	2	1	0	3	1	2	0	0	0
ASV_1023	4	2	2	1	0	0	1	3	4	0	0	2	1	1	0	1	2	3	0	1	0	1	0	1	5	3	0	3	0	0	0	1	3	2	0	0	0	0	0	2	3	1	3	1	0	0	0
ASV_1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	46	2	0	0	0	0	0	0	0	3	2
ASV_1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	2	8	25	8	1	0	0	1
ASV_1104	1	0	0	0	1	1	0	0	0	0	0	0	0	0	3	3	2	2	1	1	1	1	1	0	1	1	0	0	1	0	0	1	4	7	7	3	6	7	0	0	0	1	0	0	0	0	0
