orig_model	model	color	OTU	X1	X2
175	42	mini_model	#C1C1C1	ASV_1356	9.07728297765364	-3.4223620896233
176	81	mini_model	#C1C1C1	ASV_238	13.4051655811202	13.1836551506488
177	8	model_8	#D3ED9B	ASV_217	9.8556781757004	-13.6212296707075
178	5	model_5	#D6404E	ASV_256	-16.966535176015	-1.03992382352066
179	81	mini_model	#C1C1C1	ASV_234	13.1486632551741	13.9276242144535
180	7	model_7	#FEF6B1	ASV_223	7.50637557145407	17.9559218719252
181	16	mini_model	#C1C1C1	ASV_297	-23.0499509756148	-3.43180204231031
182	86	mini_model	#C1C1C1	ASV_230	12.2788009630176	5.78935955947674
183	8	model_8	#D3ED9B	ASV_229	8.35849625553212	-13.3591622916226
184	67	mini_model	#C1C1C1	ASV_240	4.65500110103893	-9.74285162078126
185	1	model_1	#9E0142	ASV_428	-2.25413605744783	7.55971850976193
186	7	model_7	#FEF6B1	ASV_212	6.46585860274747	16.0283900033181
187	32	model_32	#466DB0	ASV_273	-2.31065240717793	-14.1698549607975
188	24	mini_model	#C1C1C1	ASV_291	12.6847420920417	-8.55128081288955
189	8	model_8	#D3ED9B	ASV_255	10.0224085305342	-14.549575510734
190	80	mini_model	#C1C1C1	ASV_226	10.3318987114806	7.11667340988005
191	3	model_3	#F47346	ASV_328	15.4636946712485	-12.2588074571669
192	34	mini_model	#C1C1C1	ASV_207	18.1736503621103	-14.9629843924213
193	57	mini_model	#C1C1C1	ASV_276	-20.7934664880728	-7.22102811713658
194	64	mini_model	#C1C1C1	ASV_232	-11.6843304999039	-10.8596009515011
195	9	model_9	#FDB567	ASV_472	11.3194711389703	-2.55049545866745
196	1	model_1	#9E0142	ASV_227	-15.4707506464648	8.82421551960156
197	5	model_5	#D6404E	ASV_338	-13.8891263854824	-1.54023238661957
198	3	model_3	#F47346	ASV_1467	14.4115183753594	-15.6743956798137
199	58	model_58	#FDD07D	ASV_284	19.8096102192555	0.0258836888643523
200	67	mini_model	#C1C1C1	ASV_315	3.82058247429306	-9.30509880192755
201	28	model_28	#EBF7A0	ASV_383	1.86638244215697	-18.1629460253003
202	30	mini_model	#C1C1C1	ASV_241	1.0786216605597	19.0560796440379
203	3	model_3	#F47346	ASV_233	21.1061852269822	-10.7517662441161
204	1	model_1	#9E0142	ASV_309	-15.1295838974458	7.19089393859934
205	86	mini_model	#C1C1C1	ASV_228	13.154091535555	6.50012816793252
206	1	model_1	#9E0142	ASV_277	-7.9999646225856	13.379934896589
207	58	model_58	#FDD07D	ASV_323	20.5428674213237	-0.591661648149156
208	70	mini_model	#C1C1C1	ASV_289	1.31458038042433	-11.7404658707171
209	70	mini_model	#C1C1C1	ASV_292	0.592910511275389	-12.4757490141728
210	8	model_8	#D3ED9B	ASV_250	9.01230252744705	-14.5057856613355
211	41	mini_model	#C1C1C1	ASV_471	7.35886290107078	-5.94416576620456
