Genus	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	All
Butyricicoccus	0.42	0.16	0.16	0.29	0.2	0.1	0.09	0.3	0.18	0.37	0.55	0.17	0.15	0.33	0.14	0.16	0.13	0.06	0.14	0	0.05	0.06	0.39	0.35	0.26	0.36	0.09	0.05	0.22	0.18	0.16	0.27	0.09	0.09	0.18	0.34	0.14	0.05	0.06	0.19	0.27	0.18	0.14	0.06	0.09	0.3
Coprococcus	0.02	0.03	0.01	0.09	0	0.01	0.02	0.05	0.02	0.04	0.02	0	0	0.01	0.02	0.01	0.01	0	0.01	0	0.04	0	0.01	0.03	0.02	0.03	0.03	0	0.02	0	0.01	0.06	0	0.07	0.02	0.47	0.02	0.01	0.02	0.02	0.02	0.15	0.02	0.02	0.02	0.3
Keratinibaculum	0.02	0	0.01	0.01	0.03	0	0	0	0	0	0.02	0	0.01	0.02	0	0.04	0.02	0.03	0.02	0	0	0.01	0.03	0	0.03	0	0.02	0.02	0.02	0.01	0	0.01	0	0	0	0.02	0.01	0.04	0.02	0.01	0.01	0	0	0.01	0.06	0.3
Eubacterium	0.7	0.13	0.03	0.1	0	0.09	0.12	0.71	2.12	2.28	0.12	0.39	0.52	0.06	0.12	0.08	1.8	0.14	0.11	0.14	1.04	0.1	2.4	2.89	1.13	1.44	0.07	2.05	0.05	0.09	1.92	0.23	0.21	0.06	0.05	0.04	0.03	1.36	1.53	0.72	0.52	0.14	0.24	0.52	0.24	0.3
Enteroscipio	0.05	0.02	0	0	0	0	0	0.06	0.02	0.01	0	0.02	0.01	0.01	0	0.02	0.01	0.01	0.03	0	0	0.01	0	0	0.05	0.03	0	0.02	0	0	0.15	0.05	0.04	0.02	0.04	0.02	0.04	0.36	0.19	0.25	0.4	0.13	0.1	0.18	0.1	0.3
Muricomes	0.13	0.22	0.13	0.17	0.14	0.32	0.3	0.55	0.34	0.3	0.18	0.21	0.41	0.19	0.23	0.16	0.42	0.48	0.67	0.01	0.8	0	0.38	0.52	0.51	0.39	0.36	0.22	0.32	0.17	0.12	0.17	0.09	0.1	0.21	0.02	0.11	0.1	0.04	0.13	0.26	0.09	0.27	0.05	0.13	0.3
Monoglobus	0	0.01	0	0	0	0.01	0	0	0.03	0	0	0.01	0.06	0	0.02	0	0.07	0.02	0	0	0.01	0	0.05	0.05	0	0.01	0.01	0.1	0.01	0.02	0.25	0.1	0.03	0.06	0.11	0.01	0.14	0.3	0.16	0.11	0.29	0.05	0.11	0.19	0.06	0.3
Longibaculum	0.05	0.01	0	0.05	0	0.01	0	0.01	0.04	0	0.01	0.03	0.04	0	0.01	0.02	0.01	0.01	0.01	0	0	0	0.01	0	0.03	0.01	0.06	0	0.01	0.01	0.02	0.02	0.08	0.03	0.06	0.06	0.07	0	0	0	0.01	0.02	0.02	0.09	0.11	0.3
Paludicola	0.02	0.02	0.19	0.09	0.05	0.07	0.2	0.01	0	0.02	0	0.04	0.04	0.03	0.08	0.03	0.03	0	0.02	0.01	0.03	0.01	0.03	0.03	0.06	0.02	0.02	0.03	0	0	0.05	0.06	0.02	0.09	0.01	0.01	0	0.05	0	0.02	0.01	0.02	0.06	0.03	0.04	0.3
Schaedlerella	0.55	0.35	0.49	0.79	0.62	0.37	0.96	1.88	0.21	0.41	0.91	0.4	0.64	0.62	0.47	0.58	0.35	0.3	0.22	0.08	0.53	0.04	0.68	0.89	0.57	0.97	0.45	0.56	0.32	0.4	0.4	1.03	0.25	0.19	0.54	0.2	0.19	0.38	0.19	0.78	0.67	0.45	0.69	0.35	1.12	0.3
Turicimonas	0.03	0.01	0.01	0.01	0	0.02	0.01	0.05	0.07	0.09	0.03	0.03	0.01	0	0	0	0.01	0.02	0.38	1.11	0.03	0.91	0.04	0.01	0.04	0.05	0.03	0.08	0.01	0.01	0.03	0.02	0.01	0.01	0	0.01	0.03	0.03	0.02	0.01	0.03	0.09	0.03	0.12	0.07	0.3
Marvinbryantia	0.19	0.31	0.25	0.24	0.4	0.46	0.46	0.27	0.06	0.37	0.15	0.04	0.41	0.38	0.76	0.29	0.57	0.35	0.17	0.02	0.14	0.02	0.35	0.62	0.46	0.67	0.82	0.61	0.27	0.7	0.07	0.05	0.05	0.11	0.2	0.07	0.18	0.06	0.12	0.11	0.06	0.04	0.04	0.03	0.04	0.3
Ruminococcus2	0.02	0.01	0	0.01	0	0	0	0	0.04	0.02	0.01	0.01	0.01	0	0	0.1	0	0.01	0.02	0.01	0.01	0.02	0.02	0.05	0.03	0.27	0.02	0	0.01	0.01	0.05	0.12	0.33	0.2	0.46	0.19	0.28	0.07	0.2	0.63	0.26	0.39	0.3	0.44	1.29	0.3
Enterobacter	0	0	0	0	0	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0.04	0.12	0	0.55	0.06	0.02	0	0	0	0	0.03	0.03	0	0.03	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0.3
Ruthenibacterium	0	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0	0	0	0.02	0.02	0	0	0.01	0.01	0.01	0	0.01	0.02	0	0	0.03	0.06	0	0.02	0	0.06	0.05	0.06	0.07	0.04	0.19	0.04	0.23	0.15	0.1	0.1	0.16	0.08	0.08	0.02	0.3
Parasutterella	0.08	0.02	0	0.06	0	0.02	0.01	0.04	0.08	0.04	0.02	0.06	0.01	0.01	0.04	0.04	0.06	0.04	0.02	0.03	0.01	0.03	0.01	0.05	0.08	0.07	0.01	0.16	0.02	0	0.26	0.03	0.21	0.34	0.15	0.08	0.2	0.23	0.14	0.03	0.1	0.13	0.04	0.15	0.22	0.3
Mediterraneibacter	0.08	0.03	0.03	0.02	0.03	0.02	0.04	0.22	0.05	0.17	0.16	0.04	0.13	0.07	0.1	0.15	0.02	0.05	0.01	0.01	0.02	0	0.14	0.24	0.16	0.35	0.08	0.02	0.22	0.01	0.09	0.11	0.02	0.07	0.04	0.01	0.21	0.09	0.21	0.24	0.1	0.04	0.11	0.02	0.13	0.3
Clostridium_XlVb	0	0.07	0.07	0	0.01	0.01	0.02	0	0.01	0.02	0.01	0	0	0.06	0.01	0	0.03	0	0	0	0	0	0.01	0	0.02	0	0.01	0	0	0	0.09	0.04	0.04	0	0.02	0.01	0.05	0.02	0.01	0.04	0.02	0.02	0.03	0.01	0.05	0.3
Anaerotaenia	0.05	0.07	0.08	0.03	0.04	0.05	0.16	0.07	0.1	0.47	0.06	0.16	0.3	0.13	0.09	0.1	0.02	0.02	0.02	0.01	0.05	0.08	0.04	0.17	0.16	0.13	0.1	0.01	0.15	0.12	0.11	6.62	1.54	1.77	0.74	0.21	0.8	1.69	1.78	0.81	0.91	5.16	5.75	1.72	2.55	0.2
Enterococcus	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0	0.01	0.07	0	0.1	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Herbinix	0	0.01	0.23	0.04	0.36	0.05	0	0.02	0.11	0.01	0.01	0.06	0.01	0.36	0.02	0	0.01	0.01	0.03	0	0	0.03	0.05	0.04	0.03	0.01	0	0	0.09	0.01	0	0.04	0.01	0.02	0.02	0	0.03	0.01	0.02	0.03	0.02	0.02	0.02	0	0	0.2
Peptococcus	0.01	0.03	0.03	0	0	0	0.01	0	0	0	0.02	0.03	0	0.01	0	0.01	0	0	0	0	0	0	0.02	0	0.02	0.03	0.02	0	0	0.01	0.01	0.01	0	0	0.02	0	0.01	0.02	0.02	0	0.02	0	0.01	0.01	0.02	0.2
