z	module	p	roles	label	role_7
ASV_47	-1.14704840853189	2	0.192841490138787	Peripherals		peripheral
ASV_159	-1.29193603446985	2	0.42	Peripherals		peripheral
ASV_314	-1.34989108484504	2	0.444444444444444	Peripherals		peripheral
ASV_86	1.10745718065386	3	0.13923182441701	Peripherals		peripheral
ASV_114	2.41538944986485	3	0.314049586776859	Peripherals		peripheral
ASV_208	0.584284272969468	3	0.368827160493827	Peripherals		peripheral
ASV_275	3.02575784216332	3	0.0997229916897507	Module hubs	ASV_275	provincial hub
ASV_656	3.11295332677738	3	0.355029585798817	Module hubs	ASV_656	connector hub
ASV_1470	3.46173526523365	3	0.288194444444444	Module hubs	ASV_1470	provincial hub
ASV_420	0.715077499890567	3	0.209843158464035	Peripherals		peripheral
ASV_6	0.366295561434303	3	0.594104308390023	Peripherals		peripheral
ASV_30	0.584284272969468	3	0.1472	Peripherals		peripheral
ASV_33	0.409893303741336	3	0.451578808297001	Peripherals		peripheral
ASV_56	-0.244072830864159	3	0.380204528853177	Peripherals		peripheral
ASV_89	1.89221654218046	3	0.589774078478002	Peripherals		peripheral
ASV_465	-0.244072830864159	3	0	Peripherals		ultra peripheral
ASV_61	2.76417138832112	3	0.142011834319527	Module hubs	ASV_61	provincial hub
ASV_110	-0.331268315478225	3	0.152777777777778	Peripherals		peripheral
ASV_191	-0.636452511627456	3	0.0997229916897507	Peripherals		peripheral
ASV_215	-0.854441223162621	3	0.5248	Peripherals		peripheral
ASV_938	0.671479757583534	3	0	Peripherals		ultra peripheral
ASV_529	0.976663953732765	3	0.15625	Peripherals		peripheral
ASV_291	-0.898038965469655	3	0.4609375	Peripherals		peripheral
ASV_399	-1.07242993469779	3	0.172335600907029	Peripherals		peripheral
ASV_1627	0.715077499890567	3	0	Peripherals		ultra peripheral
ASV_649	0.104709107592105	3	0.390532544378698	Peripherals		peripheral
ASV_374	-0.810843480855588	3	0.210798816568047	Peripherals		peripheral
ASV_57	1.10745718065386	3	0.375139229226999	Peripherals		peripheral
ASV_72	-0.54925702701339	3	0.27939646201873	Peripherals		peripheral
ASV_119	0.148306849899138	3	0.444444444444444	Peripherals		peripheral
ASV_177	-0.0696818616360272	3	0.287380258225739	Peripherals		peripheral
ASV_481	-0.462061542399324	3	0.483892176199868	Peripherals		peripheral
ASV_11	0.540686530662435	3	0.122788761706556	Peripherals		peripheral
ASV_14	0.279100076820237	3	0.48	Peripherals		peripheral
ASV_23	0.0175136229780388	3	0.578512396694215	Peripherals		peripheral
ASV_36	0.627882015276501	3	0	Peripherals		ultra peripheral
ASV_54	0.0611113652850719	3	0.444444444444444	Peripherals		peripheral
ASV_507	0.409893303741336	3	0.375	Peripherals		peripheral
ASV_67	-0.462061542399324	3	0	Peripherals		ultra peripheral
ASV_62	-0.941636707776688	3	0.520710059171598	Peripherals		peripheral
ASV_101	0.802272984504633	3	0	Peripherals		ultra peripheral
ASV_103	1.10745718065386	3	0.277777777777778	Peripherals		peripheral
ASV_104	-0.0696818616360272	3	0.345679012345679	Peripherals		peripheral
ASV_106	0.802272984504633	3	0.535	Peripherals		peripheral
ASV_127	0.453491046048369	3	0	Peripherals		ultra peripheral
ASV_131	-0.0260841193289942	3	0	Peripherals		ultra peripheral
ASV_145	-0.0696818616360272	3	0	Peripherals		ultra peripheral
ASV_1054	0.366295561434303	3	0	Peripherals		ultra peripheral
ASV_268	0.0611113652850719	3	0.45983379501385	Peripherals		peripheral
ASV_199	0.148306849899138	3	0	Peripherals		ultra peripheral
ASV_536	0.366295561434303	3	0	Peripherals		ultra peripheral
ASV_252	0.845870726811666	3	0	Peripherals		ultra peripheral
ASV_263	1.281848149882	3	0.5	Peripherals		peripheral
ASV_490	1.32544589218903	3	0	Peripherals		ultra peripheral
ASV_554	0.104709107592105	3	0	Peripherals		ultra peripheral
ASV_480	0.279100076820237	3	0.662721893491124	Connectors	ASV_480	non hub connector
ASV_304	0.235502334513204	3	0.666666666666667	Connectors	ASV_304	non hub connector
ASV_315	0.0611113652850719	3	0	Peripherals		ultra peripheral
ASV_1629	0.32269781912727	3	0.56	Peripherals		peripheral
ASV_366	-0.244072830864159	3	0.408163265306122	Peripherals		peripheral
ASV_42	-0.374866057785258	3	0.152777777777778	Peripherals		peripheral
ASV_1314	-0.505659284706357	3	0	Peripherals		ultra peripheral
ASV_37	1.58703234603123	3	0.165289256198347	Peripherals		peripheral
ASV_410	-0.11327960394306	3	0.468809073724008	Peripherals		peripheral
ASV_286	1.1510549229609	3	0.224609375	Peripherals		peripheral
ASV_75	-0.898038965469655	3	0.483471074380165	Peripherals		peripheral
ASV_49	-1.02883219239075	3	0.628099173553719	Connectors	ASV_49	non hub connector
ASV_81	0.671479757583534	3	0.412190082644628	Peripherals		peripheral
ASV_68	0.0611113652850719	3	0.625	Connectors	ASV_68	non hub connector
ASV_83	-0.854441223162621	3	0.2176	Peripherals		peripheral
ASV_95	-0.723647996241522	3	0	Peripherals		ultra peripheral
ASV_99	-0.941636707776688	3	0.263705103969754	Peripherals		peripheral
ASV_211	-0.636452511627456	3	0.5	Peripherals		peripheral
ASV_225	-0.985234450083721	3	0.32	Peripherals		peripheral
ASV_448	1.32544589218903	3	0	Peripherals		ultra peripheral
ASV_251	-0.0696818616360272	3	0.21875	Peripherals		peripheral
ASV_572	-0.156877346250093	3	0.234056541748849	Peripherals		peripheral
ASV_97	-0.505659284706357	3	0.321995464852608	Peripherals		peripheral
ASV_58	1.36904363449606	3	0.371111111111111	Peripherals		peripheral
ASV_60	0.0175136229780388	3	0.236842105263158	Peripherals		peripheral
ASV_151	1.76142331525936	3	0.277777777777778	Peripherals		peripheral
ASV_213	-0.331268315478225	3	0.5625	Peripherals		peripheral
ASV_229	-0.331268315478225	3	0.5	Peripherals		peripheral
ASV_848	-0.985234450083721	3	0.426666666666667	Peripherals		peripheral
ASV_138	1.10745718065386	3	0.72	Connectors	ASV_138	non hub connector
ASV_149	1.10745718065386	3	0.444444444444444	Peripherals		peripheral
ASV_306	-0.985234450083721	3	0.5	Peripherals		peripheral
ASV_139	-0.680050253934489	3	0.18	Peripherals		peripheral
