Species	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibaculum|Unassigned	0.568865809040482	12.6072127200682	5.25557779622126	0.209718670076726	8.26666666666667	2.55193979224083	0.51405816338844	2.71476833976834	9.59803325223033	2.8377879049144	9.88860018516859	4.92499548165552	5.73100648494754	3.95700691449305	4.40549063253571	6.46083208395802	0.26393183017872	16.2849730815364	2.76847456810351	3.83333792305786	2.46210806432951	8.84851170692075	6.38762734748987	5.76617535626115	2.15412410534362	0.799447295696802	2.48490702728809	6.29671108266862	10.3753660058561	0.969408212845248	1.25654958276732	1.07836262965739	0.366779581824553	2.78472064429801	5.41822139303483	0.599036932930903	0.603036465969825	0.620223466282608	2.44574957950754	0.0961825478425259	0.0423634336677815	0.490154888944907	0.821405335068315	0.564249172434547	0.3073301510495	0.804138149126968	0.588367280795792
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Turicibacter|Unassigned	0.0613714150832055	0.185584591463109	0.151345017819655	0.0690537084398977	1.14641744548287	5.23902904388382	2.42789911910221	0.668436293436293	0.36749797242498	0.229092252740485	3.79595615685572	0.29595156334719	4.85052986766489	2.04468177357888	3.73307364125394	6.34604572713643	0.651031847774175	1.19389662194203	2.14201383032552	1.34662517555696	0.960314705542057	5.37952089026762	2.86485823002332	0.158881474420083	0.0718041368447872	0.123371496249507	0.099009900990099	0.297122483029735	0.288004608073729	0.127367502417624	0.0242577139530371	0.0362678014458764	0.0303702838453452	0.169153475220278	0.0103648424543947	0.11289542197544	0.215201248640212	0.109177913540384	0.0827198279427579	0.0663327916155351	0.0133779264214047	0.0532168165140184	0.187052700065062	0.230715217173237	0.261557575361276	0.740891328409117	0.179501882276682
Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Phascolarctobacterium|Unassigned	0.0141626342499705	0.0451421979234589	0.00244104867451057	0.0153452685421995	0.00249221183800623	0.0079499682001272	0	0.00241312741312741	0.0177412814274128	0.0468037935706368	0	0.0180733779143322	0	0	0.0115933964014098	0.00937031484257871	0.0301636377347108	0.0613685179502915	0.0024094643760692	0.0110153388593617	0.0115700566932778	0.00738606987222099	0.0270038050816251	0.0122216518784679	0.0208463623097769	0.0444137386498223	0	0.0228555756176719	0.0192003072049153	0.00235865745217822	0.00970308558121483	0.00483570685945018	0.028034108164934	0.0403948597540963	0	0.0322558348501256	0.00236484888615617	0.00232293433064647	0.00551465519618386	0.0165831979038838	0.00668896321070234	0.030809735876537	0.00406636304489265	0.0050155481994182	0.00435929292268794	0	0.0124654084914363
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Unassigned|Unassigned|Unassigned	0	0	0	0	0.0274143302180685	0.0238499046003816	0.0458549535416918	0.0313706563706564	0	0.0024633575563493	0.0537586237792312	0.0813302006144948	0	0.0889984254124735	0.048692264885921	0.128841829085457	0.0150818188673554	0.00278947808864961	0	0.00826150414452125	0.0208261020479	0	0.00245489137105683	0.0586639290166459	0.0115813123943205	0.0394788787998421	0.0289785076068582	0.0274266907412063	0.0216003456055297	0.00707597235653466	0.0121288569765185	0.0217606808675258	0.00934470272164467	0.0302961448155722	0.015547263681592	0.011519941017902	0.00236484888615617	0.0255522776371112	0.0248159483828274	0.00994991874233027	0.020066889632107	0.0196061955577963	0.069128171763175	0.0100310963988364	0.00653893938403191	0.0180705202051004	0.00249308169828725
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Unassigned	0.0212439513749557	0.0225710989617294	0.0122052433725528	0.0690537084398977	0	0.108649565401738	0	0.028957528957529	0.0253446877534469	0.00492671511269861	0.0268793118896156	0.0632568227001627	0.0052723150735488	0.0889984254124735	0.208681135225376	0.267053973013493	0.276500012568182	0.331947892549304	0.250584295111197	0.451628893233828	0.1874349184311	0.322525051086983	0.0589173929053639	0.0611082593923395	0.0532740370138744	0.0518160284247927	0.0724462690171456	0.123420108335428	0.0312004992079873	0.0872703257305942	0.0703473704638075	0.0846248700403781	0.102791729938091	0.159054760281754	0.147699004975124	0.209662926525816	0.0709454665846852	0.185834746451718	0.0689331899522982	0.126032304069517	0.0668896321070234	0.0644203568327592	0.0894599869876383	0.0927876416892366	0.0305150504588156	0.126493641435703	0.0149584901897235
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Chelativorans|Unassigned	0.00708131712498525	0.0275868987310027	0.0292925840941268	0.020460358056266	0.0398753894080997	0.079499682001272	0.00482683721491493	0.00723938223938224	0	0.0024633575563493	0.00895977062987187	0.00225917223929152	0.0026361575367744	0.0228201090801214	0.00927471712112781	0.0163980509745127	0	0	0.012047321880346	0	0.00694203401596668	0.0123101164537017	0.014729348226341	0.00733299112708074	0	0	0.0144892538034291	0.00457111512353439	0.00720011520184323	0.0141519447130693	0.00970308558121483	0.0120892671486255	0	0	0.0103648424543947	0.0023039882035804	0.00472969777231235	0.0116146716532324	0.00551465519618386	0.00994991874233027	0	0.00280088507968518	0.0203318152244632	0	0.00653893938403191	0.00677644507691265	0.00747924509486176
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Acetobacteraceae|Bombella|Unassigned	0	0	0.158668163843187	0	0.00249221183800623	0	0	0	0	0	0.14335633007795	0	0	0	0	0	0	0	0.115654290051322	0	0	0	0	0	0	0	0.161796667471625	0	0	0	0	0	0	0	0.145107794361526	0	0	0	0	0	0	0	0.174853610930384	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Reyranellaceae|Reyranella|Unassigned	0.0330461465832645	0.00250789988463661	0.0195283893960846	0	0.00249221183800623	0.0079499682001272	0.0579220465789791	0.142374517374517	0.0228102189781022	0	0.0119463608398292	0.00677751671787457	0	0.00912804363204856	0.0579669820070488	0.149925037481259	0.017595455345248	0.00278947808864961	0.0096378575042768	0.00550766942968083	0.00231401133865556	0.0123101164537017	0.0515527187921934	0.127105179536066	0.0254788872675052	0	0.0144892538034291	0.00457111512353439	0	0.00235865745217822	0.0460896565107704	0.0846248700403782	0.0186894054432893	0.00252467873463102	0.015547263681592	0.0023039882035804	0	0.00929173732258589	0.077205172746574	0.169148618619615	0.020066889632107	0	0.0203318152244632	0	0	0.0045176300512751	0.0722993692503303
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Insolitispirillum|Unassigned	0.00708131712498525	0	0.017087340721574	0.0434782608695652	0.00249221183800623	0.0158999364002544	0.00241341860745746	0	0.00506893755068938	0.0024633575563493	0.00298659020995729	0.0112958611964576	0	0.00456402181602428	0	0.0187406296851574	0.0276500012568182	0.0167368685318977	0.0072283931282076	0.0633381984413296	0	0.00738606987222099	0.00981956548422732	0.0146659822541615	0	0.00493485984998026	0.00724462690171456	0.00914223024706877	0.00480007680122882	0	0.00485154279060741	0	0.00233617568041117	0	0.00259121061359867	0.0714236343109923	0.0780400132431538	0.0185834746451718	0.0110293103923677	0	0	0.00560177015937036	0.0325309043591412	0.0275855150968001	0.00653893938403191	0.0045176300512751	0.0124654084914363
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax|Unassigned	0	0	0.119611385051018	0	0	0	0.00241341860745746	0	0.00253446877534469	0.00492671511269861	0.0866111160887615	0	0	0	0.00231867928028195	0	0	0.00278947808864961	0.0650555381538684	0	0	0	0.00245489137105683	0	0	0	0.106254527891814	0	0	0	0	0	0	0.00252467873463102	0.0932835820895522	0	0	0	0.00275732759809193	0	0	0.00560177015937036	0.0975927130774236	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Lacisediminimonas|Unassigned	0	0.012539499423183	0.00976419469804228	0	0	0.0185499258002968	0.0337878605044045	0.0144787644787645	0	0.00492671511269861	0.020906131469701	0.00225917223929152	0	0.00228201090801214	0.0394175477647932	0.0117128935532234	0	0.00557895617729923	0.012047321880346	0	0	0	0.0515527187921934	0.0122216518784679	0	0.00246742992499013	0.0120743781695243	0	0	0.00235865745217822	0.0242577139530371	0.00967141371890036	0	0.0126233936731551	0.00777363184079602	0	0	0.00464586866129294	0.0496318967656547	0.00994991874233027	0	0.0168053104781111	0.0162654521795706	0	0	0.00677644507691265	0.0523547156640323
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Parasutterella|Unassigned	0.00708131712498525	0.0401263981541857	0.0195283893960846	0.0179028132992327	0.00249221183800623	0	0.0144805116447448	0	0.0101378751013788	0.0123167877817465	0.0238927216796583	0.0564793059822881	0	0.00228201090801214	0.0046373585605639	0.00468515742128936	0.00251363647789257	0.0251053027978465	0.0096378575042768	0.0468151901522871	0.00231401133865556	0.00492404658148066	0.014729348226341	0.0586639290166459	0.0208463623097769	0.0246742992499013	0.00965950253561942	0.0251411331794391	0.00720011520184323	0	0.00970308558121483	0.00241785342972509	0.00934470272164467	0.0126233936731551	0.0103648424543947	0.453885676105338	0.683441328099134	0.0766568329113336	3.0054870819202	0.0795993499386422	0.020066889632107	0.310898243845055	0.374105400130124	0.132912027284582	0.132958434141982	0.368186849178921	0.249308169828725
Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales|Bdellovibrionaceae|Vampirovibrio|Unassigned	0	0	0	0	0.00249221183800623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023039882035804	0.0165539422030932	0.0511045552742224	0.215071552651171	0.0364830353885443	0.0222965440356745	0.0784247822311851	0.0487963565387118	0.0025077740997091	0.0174371716907518	0.0429174854871135	0.0174515718880108
