Family	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	All
Peptococcaceae_2	0.21	0.22	0.2	0.22	0.17	0.09	0.23	0.23	0.18	0.18	0	0	0.29	0.21	0.18	0.05	0.19	0.06	0.11	0.12	0.02	0.08	0.16	0.42	0.27	0.36	0.1	0.02	0.13	0.12	0.3	0.37	0.02	0.32	0.01	0.08	0.05	0.01	0.01	0.15	0.21	0.14	0.01	0.06	0.21	0.04	0.11	0.1
Reyranellaceae	0.01	0.02	0.01	0	0	0.07	0.08	0.13	0.01	0	0.01	0.01	0	0.03	0.03	0.15	0.05	0.01	0.02	0.01	0	0.07	0.07	0.11	0.06	0.01	0.01	0.01	0	0.04	0.08	0.09	0.04	0.01	0.01	0	0	0.07	0.06	0.11	0.02	0	0.01	0	0	0.01	0.08	0.1
Paenibacillaceae_1	0	0	0.01	0.02	0.01	0	0	0.01	0	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0.02	0	0	0.01	0	0	0.03	0	0	0	0.1
Oxalobacteraceae	0	0.01	0.04	0	0	0.02	0.01	0.01	0	0	0.01	0	0	0	0.04	0.02	0	0.01	0.01	0.01	0	0	0.04	0.03	0	0.01	0.02	0.02	0	0.01	0.02	0.01	0	0.03	0.03	0.01	0	0.01	0.08	0	0	0.01	0.01	0	0	0.01	0.04	0.1
Mycobacteriaceae	0.01	0.04	0.02	0.01	0.09	0.05	0.03	0.01	0.01	0	0.01	0	0.05	0.02	0.01	0	0.01	0.01	0	0	0.03	0.02	0.02	0.01	0	0.02	0	0	0.08	0.01	0.04	0.01	0	0	0	0	0.03	0.02	0.01	0.04	0	0	0	0	0.04	0.02	0.02	0.1
Mycoplasmataceae	0	0.02	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0.09	0.04	0.06	0.16	0.04	0.11	0.05	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Pasteurellaceae	0.02	0.01	0	0	0.03	0.01	0	0	0.01	0	0.01	0	0.03	0.01	0.01	0.01	0.03	0	0	0	0.03	0.02	0	0.01	0.01	0.01	0	0.01	0.02	0	0	0	0.01	0	0	0	0.02	0	0	0	0.03	0.01	0	0	0.01	0.02	0	0.1
Rhodocyclaceae	0.04	0.02	0	0.02	0	0.01	0	0	0.01	0	0	0.01	0.02	0	0.01	0	0.02	0.01	0	0.05	0.01	0	0	0	0.02	0	0.01	0.02	0.01	0	0	0	0	0	0	0.02	0.02	0	0	0	0.01	0	0	0	0	0	0.01	0.1
Caldilineaceae	0.02	0.01	0	0	0.04	0.02	0.01	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0	0.1
Candidatus_Brocadiaceae	0.01	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0.02	0.01	0	0.02	0	0	0	0	0.01	0	0.02	0	0	0	0	0.01	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0.01	0	0.1
Sphingomonadaceae	0.02	0.02	0.02	0	0	0	0	0	0	0.01	0.03	0	0	0	0.02	0.01	0.01	0.02	0	0	0	0	0	0	0	0.05	0	0	0	0.01	0	0	0	0.05	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0.01	0.1
Atopobiaceae	0	0.01	0.02	0	0.08	0.01	0	0.05	0	0	0.08	0.01	0.07	0.09	0.14	0.49	0.01	0.01	0	0	0.03	0	0.01	0	0.01	0	0.03	0.01	0.01	0	0.01	0	0.01	0	0.03	0.01	0	0.03	0.18	0.06	0	0.03	0.06	0	0	0.02	0	0.1
Vibrionaceae	0	0	0.01	0	0.04	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.1
Burkholderiaceae	0	0.01	0	0.07	0	0.03	0	0	0	0.01	0	0.04	0	0.01	0	0	0	0.01	0	0.04	0	0.01	0	0	0	0.01	0	0.03	0	0	0	0	0	0	0	0.03	0	0.01	0	0.02	0	0.03	0	0.01	0	0	0	0.1
Erwiniaceae	0	0	0	0.01	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0.02	0	0	0.05	0.06	0.02	0.04	0.06	0.1	0.04	0.04	0	0.01	0.02	0	0.01	0.08	0	0	0	0.1
Fusobacteriaceae	0	0	0.04	0.02	0	0	0	0.01	0	0	0.03	0.02	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0.01	0.01	0.02	0.05	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0.02	0.02	0	0	0	0.1
Haliangiaceae	0.01	0	0	0.01	0	0	0	0	0.01	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.1
Devosiaceae	0	0	0.01	0	0.02	0.01	0.01	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0.01	0	0.1
Sphingobacteriaceae	0.01	0	0	0	0.01	0	0.01	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0.1
Weeksellaceae	0.19	0.03	0.16	0.79	0.09	0.03	0.23	0.05	0.04	0.11	0.11	0.01	0.07	0	0.04	0.01	0.08	0.06	0.13	0.08	0.08	0.09	0.08	0.03	0.01	0.47	0.09	0.06	0.08	0.07	0.02	0.14	0.03	0.11	0.07	0.47	0.35	0.34	0.3	0.45	0.04	0.09	0.54	0.31	0.03	0.16	0.29	0.1
Xanthomonadaceae	0	0.01	0	0.02	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.01	0	0.04	0	0	0	0.01	0	0.01	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0	0	0.01	0	0.02	0	0.03	0	0	0	0.1
Xanthobacteraceae	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0	0.01	0	0	0	0	0	0	0.1
Phreatobacteraceae	0	0.01	0.01	0	0	0.01	0	0	0	0.01	0.04	0.04	0.01	0	0	0.04	0	0.02	0	0.02	0	0	0.01	0	0	0.01	0	0	0.01	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0.1
Sporomusaceae	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0.01	0	0	0.1
Phyllobacteriaceae	0.02	0.01	0.02	0.01	0.06	0.08	0	0.01	0	0	0.03	0	0	0.03	0	0.04	0	0	0.01	0	0.01	0.01	0.02	0.01	0	0	0	0.01	0.01	0.01	0.02	0.02	0	0	0.02	0	0	0.01	0.01	0.01	0	0	0.02	0	0.02	0	0	0.1
Pseudomonadaceae	0	0.01	0.01	0.02	0.04	0.02	0	0	0	0	0.03	0	0.03	0.01	0.01	0	0	0.01	0.04	0.01	0.02	0.03	0	0	0.01	0.01	0.04	0	0.02	0.03	0	0	0	0	0.02	0	0.01	0.01	0.01	0	0	0	0.02	0.03	0.03	0.02	0.01	0.1
Spiroplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.07	0	0	0.01	0	0.23	0	0.01	0	0	0.01	0.1
Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.01	0.04	0.03	0.02	0	0.01	0	0.1
Coriobacteriaceae	0.01	0	0	0.03	0	0.03	0	0.01	0	0	0.01	0.02	0	0.01	0.01	0.01	0	0	0	0.02	0	0	0.02	0	0.01	0	0	0.03	0	0	0.01	0	0.01	0	0	0.02	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0.1
Clostridiales_Incertae_Sedis_XVII	0	0	0.02	0	0	0.03	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0.02	0	0	0	0	0	0	0	0.1
Deinococcaceae	0	0	0	0.03	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.1
Defluviitaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.29	0.24	0.13	0.06	0.1	0.71	0	0.02	0.08	0.04	0.1
Deferribacteraceae	0.56	0.06	0.06	0.07	0.46	0.14	0.05	1.68	0.16	0.03	0.08	0	0.22	0.03	0.02	0.03	0.07	0.03	0.01	0.03	0.5	0	0	0	0.89	0.09	0.03	0.03	0.05	0.91	0.6	0.26	0.58	0	0.31	0.02	0.01	0.02	0.01	0.19	0.07	0	0	0	0.03	0.27	0.24	0.1
Anaerolineaceae	0	0.02	0.02	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Akkermansiaceae	0.13	5.35	25.2	0.12	0.16	0.09	0.11	0.07	0.66	0.12	0.73	11.6	6.56	0.47	7.4	0.45	17.2	0.16	0.17	0.31	14.2	0.25	0.33	8.77	9.55	11.8	27.4	39.3	0.63	0.17	0.22	0.13	5.52	0.11	10.6	18.9	19.2	8.85	2.51	0.47	0.06	1.16	8.08	4.53	0.39	0.71	11.7	0.1
Acidaminococcaceae	0.01	0.07	0	0.01	0	0.01	0	0	0.01	0.04	0	0.03	0	0	0.02	0.01	0.02	0.08	0	0.01	0	0.01	0.02	0.01	0.03	0.07	0	0.02	0.02	0	0.01	0	0.03	0.03	0	0.03	0	0	0	0.01	0	0.03	0.01	0.01	0.01	0	0.02	0.1
Chromatiaceae	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.02	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Bdellovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.04	0.21	0.05	0.01	0.06	0.07	0	0	0.06	0.02	0.1
Bacillales_Incertae_Sedis_XI	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.03	0	0.1
Desulfobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.18	0.03	0	0	0.02	0.03	0	0	0	0	0.1
Methylophilaceae	0	0	0	0	0	0.03	0	0	0	0.01	0	0	0	0.05	0	0	0	0.03	0	0	0	0.07	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0.05	0	0	0	0.01	0	0	0	0.07	0	0.1
