ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_94	3.215	13.743	0.000521786811477628	0.00367997014410538	Enriched	0.603	0.065	0.235	0.262	0.646	0.367	0.172	0.575	0.913	0.333	0.351	1.371	1.08	0.935	0.137	0.005	0.085	0.238	0.022	0.034	0.053	0.041	0.079	0.012	0.021	0.052
ASV_108	0.045	14.543	0.973580837534156	0.973580837534156	NotSig	0.236	0.229	0.041	0.033	0.023	0.036	0.172	0.894	0.078	0.037	0.038	0.769	0.632	0.08	0.014	0.045	0	0.003	0.005	0.016	0.145	2.387	0.041	0.057	0.024	0.011
ASV_81	-1.476	12.774	0.0139089421242357	0.0286738191484245	Depleted	0.117	0.326	0.018	0.021	0.044	0.028	0.514	0.502	0.053	0.037	0.045	0.085	0.052	0.005	0.347	0.108	0.146	0.598	0.7	0.31	0.244	0.466	0.185	0.108	0.493	0.201
ASV_107	5.325	12.317	0.000302526568648289	0.00270257067992472	Enriched	0.239	0.006	0.037	0.066	0.049	0.51	0.385	0.254	0.311	0.403	0.236	0.272	0.278	0.065	0.012	0.005	0.002	0	0.027	0.003	0	0	0.003	0.01	0.003	0.007
ASV_69	-8.111	15.023	0.0349502311372794	0.0563054626170963	Depleted	0.003	0.894	0	0.005	0.002	0.006	0	0	0	0.012	0	0	0.009	0.005	0.009	0.008	0.012	0.013	0.703	3.22	1.779	1.607	0.018	0.015	3.33	0.014
ASV_84	0.143	12.559	0.857647286783079	0.897849503351036	NotSig	0.116	0.105	0.021	0.017	0.081	0.138	0.298	0.227	0.011	0.362	0	0.013	0.217	0.005	0.012	0.118	0.005	0.038	0.072	0.162	0.603	0.089	0.005	0.025	0.06	0.07
ASV_101	3.304	14.053	0.000387847287637945	0.00324313834164527	Enriched	0.677	0.069	0.431	0.312	0.634	0.403	1.022	0.58	1.7	0.244	0.223	0.883	0.8	0.89	0.045	0.005	0.034	0.102	0.097	0.053	0.109	0.111	0.073	0.103	0.042	0.047
ASV_867	-2.158	13.091	0.00233397001363974	0.00947733278265833	Depleted	0.084	0.375	0.018	0.007	0.051	0.119	0.106	0.047	0.269	0.134	0.058	0.039	0.068	0.092	0.458	0.873	0.332	0.235	0.239	0.477	0.364	0.133	0.264	0.185	0.851	0.088
ASV_75	-2.547	11.918	1.63597170555254e-05	0.000548050521360102	Depleted	0.037	0.218	0.018	0.007	0.007	0.008	0.083	0.094	0.017	0.016	0.03	0.131	0.029	0.007	0.29	0.13	0.225	0.215	0.137	0.387	0.222	0.164	0.134	0.106	0.37	0.237
ASV_79	-3.752	13.349	0.00320525951054257	0.0113027572213869	Depleted	0.024	0.328	0.012	0.005	0.021	0.011	0.043	0.033	0.064	0.033	0.008	0.048	0.002	0.012	0.297	0.461	0.173	0.246	0.229	0.127	0.258	0.06	0.188	0.163	0.687	1.044
