ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_1405	-0.305	10.645	0.372368830947496	0.573598451712053	NotSig	0.07	0.086	0.042	0.041	0.086	0.145	0.04	0.078	0.075	0.022	0.097	0.081	0.059	0.158	0.095	0.034	0.125	0.072	0.05	0.123	0.063	0.013	0.16	0.024	0.115
ASV_169	2.398	12.008	0.00920973509151059	0.147840484363723	Enriched	0.165	0.031	0.058	0.301	0.227	0.012	0.148	0.098	0.029	0.284	0.412	0.239	0.007	0.028	0	0.01	0.01	0.042	0.138	0.01	0.109	0.008	0.005	0.012	0.005
ASV_222	-0.175	11.85	0.783060049214667	0.87806365812674	NotSig	0.082	0.092	0.026	0.041	0.021	0.096	0.045	0.089	0.125	0.207	0.002	0.054	0.191	0.059	0.013	0	0.084	0.007	0.215	0.369	0.022	0.023	0.057	0.17	0.088
ASV_187	-0.627	11.57	0.134134437357294	0.402066841522308	NotSig	0.092	0.142	0.203	0.066	0.065	0.012	0.176	0.053	0.087	0.047	0.16	0.111	0.034	0.224	0.095	0.12	0.115	0.304	0.066	0.121	0.14	0.193	0.032	0.275	0.023
ASV_213	-0.201	13.54	0.842783254399181	0.908299973822439	NotSig	0.163	0.187	0.778	0.205	0.313	0	0.131	0.011	0.007	0.003	0.333	0.007	0	0.014	0.005	0.073	0.013	1.191	0.337	0.048	0.046	0.302	0.017	0.122	0.075
ASV_216	-0.431	7.4	0.63479580920356	0.774450887228343	NotSig	0.002	0.003	0.003	0	0	0.002	0	0	0	0.008	0.005	0.002	0.005	0	0	0	0.005	0.007	0.003	0.017	0	0.003	0.002	0	0
ASV_883	-0.322	12.553	0.769818971232414	0.868169242668	NotSig	0.074	0.093	0.021	0.018	0.06	0.379	0.01	0.028	0.188	0.047	0.002	0.025	0.037	0.304	0.01	0.01	0.601	0.02	0.016	0.019	0.08	0.02	0.002	0.027	0.002
ASV_163	-2.641	10.266	0.380634122031381	0.583383955877243	NotSig	0.002	0.011	0	0.002	0.002	0	0	0	0	0.003	0	0.002	0.01	0	0	0	0.005	0	0.005	0	0	0	0.123	0	0
ASV_205	0.866	12.795	0.415871548441812	0.621768736640944	NotSig	0.18	0.099	0	0	0.002	0.005	0.01	0.34	0.711	0.702	0.002	0.182	0.027	0.399	0.005	0.012	0.366	0.007	0.352	0	0.002	0.003	0.039	0	0
ASV_225	-0.551	11.418	0.250524336122549	0.485934614079293	NotSig	0.059	0.086	0.05	0.041	0.037	0.019	0.038	0.067	0.048	0.072	0.042	0.062	0.169	0.132	0.108	0.027	0.274	0.077	0.05	0.087	0.094	0.035	0.057	0.066	0.023
ASV_172	1.011	12.172	0.1572390353564	0.432053205258576	NotSig	0.17	0.084	0.1	0.162	0.032	0.105	0.003	0.338	0.094	0.253	0.025	0.291	0.462	0.113	0.456	0.132	0.041	0.002	0.008	0.007	0	0.104	0.138	0.003	0.005
ASV_206	-0.748	11.497	0.131938944652713	0.402066841522308	NotSig	0.058	0.097	0.063	0.021	0.016	0.014	0.053	0.07	0.029	0.058	0.037	0.128	0.145	0.135	0.103	0.02	0.289	0.025	0.13	0.123	0.087	0.061	0.086	0.078	0.025
ASV_237	0.11	10.74	0.730112956452865	0.846708941894007	NotSig	0.082	0.076	0.047	0.114	0.095	0.037	0.08	0.036	0.171	0.124	0.076	0.039	0.083	0.146	0.03	0.005	0.066	0.065	0.066	0.125	0.121	0.058	0.084	0.06	0.088
ASV_183	0.335	11.847	0.460502083178528	0.650245997080792	NotSig	0.129	0.102	0.216	0.037	0.058	0.04	0.183	0.251	0.063	0.168	0.069	0.239	0.098	0.068	0.09	0.059	0.087	0.11	0.368	0.077	0.043	0.081	0.094	0.122	0.029
ASV_604	1.215	11.411	0.00268082601855823	0.100642801360232	Enriched	0.155	0.067	0.076	0.064	0.134	0.157	0.176	0.234	0.272	0.248	0.134	0.15	0.059	0.031	0.053	0.095	0.033	0.037	0.058	0.082	0.063	0.068	0.062	0.158	0.061
ASV_188	-0.853	11.475	0.128538632655958	0.402066841522308	NotSig	0.057	0.103	0.018	0.021	0.009	0.063	0.003	0.084	0.036	0.088	0	0.126	0.179	0.068	0.1	0.002	0.107	0.002	0.093	0.208	0.285	0.152	0.079	0.057	0.081
ASV_177	0.276	11.488	0.484605625960592	0.660734088827385	NotSig	0.116	0.096	0.082	0.034	0.063	0.075	0.146	0.287	0.104	0.204	0.06	0.121	0.103	0.087	0.063	0.098	0.148	0.01	0.244	0.14	0.041	0.073	0.044	0.111	0.093
ASV_306	0.612	11.933	0.341756532004025	0.553017394709784	NotSig	0.141	0.092	0.261	0.071	0.058	0.021	0.322	0.298	0.128	0.055	0.053	0.182	0.098	0.033	0.008	0.005	0.161	0.202	0.265	0.005	0.391	0.008	0.015	0.006	0.007
ASV_189	-0.894	12.356	0.470816246312625	0.658710803327297	NotSig	0.051	0.094	0.005	0.005	0.005	0.412	0	0.106	0	0.011	0.005	0.005	0.002	0.009	0.01	0	0.018	0.005	0.077	0.251	0.002	0.19	0.01	0.03	0.524
ASV_373	0.944	12.603	0.267575300169023	0.492408517640133	NotSig	0.168	0.087	0.622	0.084	0.148	0.035	0.294	0.184	0.077	0.036	0.236	0.089	0.042	0.024	0.003	0.007	0.102	0.578	0.117	0.01	0.183	0.008	0.007	0	0.009
ASV_204	0.166	11.443	0.719987948406178	0.84136522706469	NotSig	0.111	0.099	0.069	0.278	0.1	0.082	0.173	0.067	0.063	0.05	0.171	0.118	0.054	0.078	0.098	0.061	0.061	0.025	0.101	0.265	0.077	0.261	0	0.161	0.002
ASV_199	1.378	12.529	0.0733643370578151	0.308004601803366	NotSig	0.173	0.067	0.082	0.591	0.134	0.356	0.178	0.053	0.19	0.085	0.049	0.01	0.174	0.09	0	0.002	0.043	0.082	0	0.109	0.229	0.15	0.005	0.078	0.011
ASV_583	-0.157	10.933	0.599023808049532	0.747869996146279	NotSig	0.095	0.106	0.069	0.178	0.114	0.075	0.138	0.008	0.031	0.052	0.183	0.079	0.123	0.113	0.068	0.076	0.095	0.145	0.114	0.113	0.195	0.127	0.089	0.093	0.05
ASV_274	-0.108	11.332	0.895572697320224	0.935444084529686	NotSig	0.042	0.045	0.005	0.055	0.046	0.035	0.013	0	0.01	0.003	0.005	0.03	0.258	0.054	0.078	0.049	0.056	0.055	0.106	0.07	0.048	0.015	0.002	0.003	0.002
ASV_1309	-1.374	11.408	0.284672687532762	0.505459749490095	NotSig	0.022	0.058	0.003	0.009	0.002	0.007	0.005	0.095	0.017	0	0	0.012	0.096	0.005	0	0	0	0	0	0.258	0.007	0.01	0.007	0.272	0.136
ASV_1211	-2.241	12.493	0.0458002736255058	0.232818057596321	NotSig	0.04	0.191	0.008	0.005	0.009	0.03	0.01	0.02	0.166	0.091	0	0.076	0.029	0.486	0.258	0.007	0.532	0.012	0.032	0.024	0.029	0.302	0.576	0.009	0.025
ASV_211	-1.075	10.897	0.00987147529412656	0.15053999823543	Depleted	0.055	0.116	0.063	0.084	0.046	0.019	0.068	0.025	0.036	0.052	0.123	0.039	0.047	0.168	0.043	0.061	0.171	0.152	0.119	0.191	0.179	0.056	0.03	0.179	0.038
ASV_210	-1.507	11.758	0.00437412979458083	0.100642801360232	Depleted	0.065	0.186	0.248	0.251	0.042	0.026	0.015	0.025	0.029	0.025	0.023	0.032	0.005	0.064	0.118	0.112	0.09	0.107	0.175	0.27	0.275	0.226	0.251	0.346	0.199
ASV_251	0.454	11.438	0.287493022908246	0.505459749490095	NotSig	0.138	0.101	0.142	0.164	0.132	0.194	0.143	0.173	0.135	0.201	0.102	0.13	0.002	0.005	0.01	0.005	0.003	0.005	0.011	0.152	0.278	0.165	0.192	0.206	0.181
ASV_200	0.628	12.287	0.529810111519112	0.686417422627908	NotSig	0.091	0.059	0.053	0.212	0.088	0.028	0.108	0.003	0.002	0.006	0.5	0	0.002	0.061	0.078	0.098	0.003	0.002	0	0.007	0.002	0.063	0.005	0.209	0.178
ASV_426	0.749	13.053	0.515083927128365	0.674532177725596	NotSig	0.179	0.106	0.793	0.162	0.128	0.007	0.186	0.006	0.007	0.008	0.639	0.017	0.012	0.009	0.008	0.254	0.013	0.85	0.032	0.017	0.022	0.005	0.054	0.006	0.007
ASV_198	-0.006	11.069	0.989442573818268	0.992697319126881	NotSig	0.067	0.067	0.071	0.011	0.107	0.066	0.048	0.07	0.12	0.044	0.09	0.034	0.071	0.021	0.04	0.012	0.031	0	0.053	0.063	0.215	0.096	0.113	0.093	0.066
ASV_214	-1.281	11.438	0.0578277305129367	0.275585278225714	NotSig	0.034	0.083	0.037	0.032	0.009	0.005	0.015	0.081	0.017	0.077	0	0.054	0.049	0.142	0.013	0.024	0.113	0.03	0.042	0.138	0.278	0.068	0.084	0.06	0.007
ASV_293	-0.675	11.32	0.226574255239517	0.485934614079293	NotSig	0.063	0.1	0.256	0.183	0.023	0.023	0.038	0.025	0.034	0.028	0.037	0.027	0.017	0.042	0.05	0.059	0.02	0.05	0.061	0.195	0.15	0.134	0.118	0.209	0.113
ASV_263	-0.31	10.637	0.368960673021089	0.57123352929661	NotSig	0.065	0.081	0.021	0.13	0.109	0.073	0.053	0.025	0.063	0.028	0.106	0.062	0.052	0.123	0.158	0.024	0.038	0.062	0.024	0.077	0.159	0.071	0.067	0.09	0.081
ASV_1356	0.352	11.395	0.242916756174772	0.485934614079293	NotSig	0.13	0.102	0.071	0.269	0.146	0.141	0.116	0.033	0.171	0.091	0.197	0.069	0.125	0.092	0.083	0.156	0.074	0.112	0.087	0.113	0.147	0.056	0.059	0.063	0.178
ASV_262	0.334	7.944	0.388341725691729	0.589274757890434	NotSig	0.01	0.008	0.011	0.021	0.009	0	0.013	0.008	0.012	0.006	0.007	0.025	0.005	0.012	0.003	0.005	0.008	0.005	0.003	0.01	0.012	0.005	0.012	0.015	0.011
ASV_238	0.588	11.64	0.272285864698185	0.494328504362776	NotSig	0.114	0.076	0.05	0.034	0.077	0.04	0.01	0.159	0.19	0.253	0.062	0.059	0.319	0.009	0.128	0.093	0.02	0.042	0.037	0.111	0.077	0.038	0.081	0.125	0.147
ASV_244	1.116	10.955	0.00310505004851529	0.100642801360232	Enriched	0.117	0.054	0.042	0.199	0.165	0.11	0.141	0.061	0.13	0.118	0.051	0.111	0.16	0.031	0	0.083	0.046	0.072	0.103	0.089	0.118	0.028	0.007	0.036	0.034
ASV_215	-0.695	11.47	0.16205898794359	0.441321351096384	NotSig	0.056	0.091	0.087	0.027	0.032	0.026	0.025	0.073	0.051	0.16	0.035	0.03	0.076	0.017	0.133	0.088	0.046	0.085	0.148	0.058	0.039	0.063	0.064	0.284	0.072
ASV_217	-0.08	13.312	0.940956395389708	0.959838463524618	NotSig	0.136	0.144	0.68	0.176	0.248	0	0.121	0.006	0	0.003	0.261	0.002	0	0.005	0.008	0.093	0.008	1.017	0.225	0.034	0.034	0.167	0.005	0.057	0.075
ASV_297	-1.853	13.286	0.218977569866188	0.485934614079293	NotSig	0.043	0.155	0.003	0.011	0.002	0.005	0.003	0	0.017	0.019	0	0.145	0.268	0.014	0.003	0	0.166	0.002	0.119	0.384	0.999	0.013	0.094	0.015	0.054
ASV_234	0.469	11.203	0.246153996943737	0.485934614079293	NotSig	0.104	0.075	0.042	0.05	0.179	0.052	0.018	0.134	0.149	0.14	0.086	0.057	0.236	0.017	0.093	0.105	0.015	0.097	0.04	0.106	0.065	0.025	0.076	0.122	0.138
ASV_236	1.467	10.976	0.00761380485876295	0.14085266634504	Enriched	0.106	0.039	0.018	0.192	0.111	0.201	0.04	0.031	0.106	0.063	0.113	0.101	0.194	0.017	0.043	0.022	0.015	0.03	0.042	0.113	0.072	0.043	0.002	0.042	0.02
ASV_256	-0.135	10.802	0.848753944217689	0.91151391896618	NotSig	0.045	0.05	0.092	0.03	0.179	0.03	0.013	0.036	0.005	0.008	0.023	0.015	0.069	0.017	0.058	0	0.01	0.032	0.013	0.164	0.06	0.041	0.175	0.024	0.005
ASV_247	1.001	11.953	0.495011791947458	0.665103949532928	NotSig	0.06	0.03	0.005	0.005	0.176	0.037	0.008	0.006	0.005	0.011	0.002	0.396	0.005	0.002	0	0	0.003	0.002	0.257	0.002	0	0	0.002	0.066	0.023
ASV_223	-0.929	10.915	0.00844067109603234	0.143022482460548	Depleted	0.061	0.116	0.121	0.068	0.049	0.014	0.085	0.022	0.046	0.052	0.09	0.057	0.066	0.135	0.035	0.063	0.171	0.157	0.183	0.133	0.193	0.089	0.116	0.093	0.027
ASV_230	-0.299	11.443	0.628656486680118	0.773146082409016	NotSig	0.074	0.091	0.161	0.052	0.125	0.037	0.025	0.176	0.094	0.041	0.002	0.039	0.056	0.052	0.075	0	0.056	0	0.037	0.244	0.246	0.063	0.278	0.033	0.002
ASV_229	0.57	12.46	0.531129546689136	0.686417422627908	NotSig	0.124	0.083	0.501	0.189	0.111	0.037	0.118	0.056	0.051	0.022	0.183	0.059	0.032	0.012	0	0.005	0.041	0.563	0.18	0.002	0.179	0.01	0.002	0	0.005
ASV_240	3.378	12.771	0.238776601761378	0.485934614079293	NotSig	0.087	0.008	0.005	0.073	0	0.007	0.136	0.025	0.002	0.006	0.699	0.002	0	0.009	0.003	0.061	0.01	0.002	0	0	0.005	0.003	0.005	0	0.002
ASV_212	-1.593	11.381	0.0115369469575936	0.159944037366638	Depleted	0.036	0.109	0.055	0.084	0.019	0.005	0.106	0.017	0	0.028	0.053	0.015	0.015	0.109	0.068	0.02	0.223	0.267	0.18	0.07	0.152	0.046	0.071	0.078	0.02
ASV_227	2.038	7.55	0.0285461918664506	0.206429818100269	NotSig	0.006	0.001	0.005	0	0.002	0.019	0	0.008	0.005	0.008	0.007	0	0.01	0	0.003	0	0	0.005	0	0.005	0.005	0	0	0	0
ASV_291	0.228	11.478	0.564742733491243	0.717693890478455	NotSig	0.094	0.08	0.074	0.285	0.134	0.068	0.073	0.039	0.065	0.069	0.051	0.064	0.11	0.127	0.05	0.027	0.13	0.122	0.056	0.068	0.123	0.048	0.076	0.087	0.047
ASV_428	-1.284	5.593	0.483681908509511	0.660734088827385	NotSig	0	0.001	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0.002	0	0.005	0	0	0	0	0
ASV_226	-0.771	11.226	0.143933307273713	0.406092539116364	NotSig	0.053	0.09	0.003	0	0.023	0.002	0.098	0.081	0.075	0.088	0	0.084	0.125	0.12	0.075	0.134	0.018	0.12	0.005	0.118	0.031	0	0.094	0.122	0.239
ASV_255	0.428	13.099	0.739710750002401	0.848965988598239	NotSig	0.116	0.086	0.29	0.082	0.093	0	0.465	0	0	0.006	0.329	0.005	0.007	0.007	0.005	0.134	0	0.877	0	0	0	0.003	0	0.009	0
ASV_328	-0.268	11.136	0.608764799236815	0.754769364907433	NotSig	0.06	0.073	0.09	0.041	0.016	0.216	0.08	0.025	0.043	0.022	0.046	0.047	0.037	0.078	0.02	0.032	0.225	0.102	0.109	0.084	0.06	0.066	0.02	0.06	0.016
ASV_273	-4.365	12.567	0.112930601998171	0.387009366398227	NotSig	0.005	0.104	0	0.005	0.002	0.012	0.003	0.011	0.005	0.011	0	0	0.007	0.038	0.607	0.005	0.02	0.002	0.013	0.002	0	0.058	0.434	0.024	0.043
ASV_276	-0.842	10.654	0.0313890547957678	0.206429818100269	NotSig	0.044	0.079	0.05	0.032	0.023	0.023	0.045	0.028	0.034	0.085	0.035	0.039	0.088	0.137	0.08	0.032	0.161	0.017	0.111	0.031	0.072	0.124	0.059	0.063	0.056
ASV_207	3.064	12.537	0.031174871671519	0.206429818100269	NotSig	0.203	0.024	0.026	0.002	0.007	0.007	0.01	0.594	0.328	0.286	0.009	0.458	0.501	0.031	0	0.024	0.018	0.002	0	0.002	0.002	0.129	0.079	0	0.002
ASV_309	0.286	8.834	0.514377215688908	0.674532177725596	NotSig	0.02	0.016	0.018	0.016	0.028	0.016	0.035	0.006	0.024	0.019	0.012	0.002	0.042	0.007	0.005	0.022	0.013	0.012	0.003	0.041	0.012	0.046	0.005	0.021	0.009
ASV_1467	-0.87	10.89	0.407510205390825	0.612269027803949	NotSig	0.025	0.046	0.008	0.014	0.002	0.002	0.008	0.089	0.027	0	0.002	0.03	0.096	0	0.013	0	0	0	0.008	0.154	0.005	0	0.01	0.173	0.19
ASV_239	0.815	10.828	0.0642615405794733	0.288231909952049	NotSig	0.077	0.044	0.116	0.046	0.056	0.026	0.043	0.05	0.065	0.182	0.044	0.108	0.113	0.019	0.015	0.02	0.013	0.07	0.077	0.104	0.058	0.003	0.027	0.063	0.059
ASV_284	-0.389	9.668	0.54231395628189	0.694982170865447	NotSig	0.016	0.02	0.005	0.018	0.032	0.016	0.025	0.008	0.014	0.025	0.005	0.002	0.02	0.009	0	0	0.018	0.017	0.005	0.043	0.048	0.003	0.005	0.015	0.081
ASV_241	-1.98	11.648	0.322358411395357	0.542519633100731	NotSig	0.009	0.037	0.003	0.002	0.012	0.002	0	0.02	0.019	0.008	0.007	0.012	0.017	0.002	0.321	0	0.059	0.005	0.005	0.036	0.007	0	0	0	0.005
ASV_232	1.064	10.871	0.00419053041920597	0.100642801360232	Enriched	0.092	0.044	0.071	0.084	0.1	0.068	0.068	0.103	0.043	0.187	0.044	0.096	0.145	0.047	0.023	0.066	0.049	0.055	0.037	0.063	0.017	0.035	0.042	0.06	0.034
ASV_224	-1.612	5.9	0.420288900333702	0.62530787610624	NotSig	0	0.001	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.006	0
ASV_472	-1.202	13.032	0.335369169231341	0.546992495270368	NotSig	0.052	0.12	0.037	0.011	0.012	0.033	0.035	0.073	0.08	0.157	0.016	0.057	0.064	0.035	0.005	0.005	0.013	0.047	0.837	0.034	0.121	0.084	0.116	0.105	0.038
ASV_233	-1.781	11.381	0.0805287702974772	0.331909120820683	NotSig	0.024	0.083	0.003	0.002	0.009	0.009	0	0.1	0.058	0.019	0.002	0.017	0.044	0.267	0	0.005	0.005	0	0.199	0.152	0.101	0.025	0.229	0.003	0.007
ASV_338	-1.895	10.085	0.0614853413843743	0.284519576017084	NotSig	0.008	0.028	0	0.021	0	0.005	0.008	0.014	0.017	0.003	0.009	0.002	0.005	0.002	0.01	0.012	0.049	0.01	0.008	0.109	0.007	0.005	0.079	0.021	0.025
ASV_383	0.3	11.172	0.650701719023943	0.777313071132301	NotSig	0.069	0.056	0.021	0.027	0.209	0.016	0.048	0.112	0.024	0.03	0.012	0.03	0.231	0.026	0.098	0.044	0.033	0.005	0.053	0.188	0.007	0.058	0.091	0.051	0.018
ASV_257	-0.497	11.5	0.451682688553385	0.646482229227849	NotSig	0.06	0.084	0.09	0.009	0.114	0.112	0.168	0.042	0.002	0.006	0.012	0.101	0.002	0.021	0.003	0.01	0.036	0.157	0.003	0.186	0.29	0.147	0.007	0.096	0.059
ASV_221	0.255	6.72	0.821059115016593	0.906972472121503	NotSig	0.002	0.002	0.011	0.002	0	0	0	0	0	0	0.005	0.005	0	0	0	0	0	0.01	0.008	0	0	0.003	0	0	0
ASV_228	-0.445	11.43	0.505399222265736	0.670966475629268	NotSig	0.064	0.087	0.169	0.025	0.093	0.016	0.028	0.17	0.082	0.033	0.009	0.052	0.027	0.057	0.08	0.002	0.061	0.007	0.013	0.275	0.183	0.051	0.276	0.027	0.011
ASV_315	3.224	12.205	0.105287280782896	0.387009366398227	NotSig	0.108	0.012	0	0.071	0	0.007	0.103	0.455	0.043	0.028	0.472	0.007	0	0.026	0.025	0.046	0.028	0.002	0	0	0.002	0.003	0.002	0.003	0
ASV_289	-2.052	12.787	0.248145321243468	0.485934614079293	NotSig	0.023	0.095	0.076	0.03	0.021	0.007	0.02	0.036	0	0.003	0.012	0.007	0.039	0.012	0.228	0.002	0.01	0.01	0.008	0.089	0.019	0.043	0.707	0.006	0.002
ASV_323	0.652	9.364	0.0926128723405078	0.361766027601231	NotSig	0.034	0.021	0.021	0.059	0.019	0.007	0.025	0.031	0.046	0.03	0.039	0.042	0.052	0.009	0.023	0.066	0.013	0.042	0.013	0.036	0.012	0.013	0.01	0.009	0.011
ASV_278	0.636	10.852	0.187902606509211	0.469502615319678	NotSig	0.076	0.049	0.029	0.185	0.107	0.061	0.085	0.025	0.128	0.102	0.035	0.039	0.044	0.005	0.033	0.02	0.008	0.042	0.095	0.14	0.075	0.005	0.002	0.084	0.081
ASV_261	-0.664	10.531	0.0393574786039462	0.211005430307885	NotSig	0.052	0.082	0.042	0.025	0.03	0.026	0.025	0.081	0.051	0.116	0.028	0.052	0.096	0.052	0.148	0.059	0.12	0.065	0.058	0.101	0.056	0.058	0.054	0.131	0.084
ASV_292	-5.749	14.584	0.331032150077959	0.544777736237776	NotSig	0.004	0.211	0.013	0.011	0	0	0	0.014	0.002	0	0.002	0	0	0	0.01	0	0	0	0	0.014	0.012	0.013	2.456	0.021	0.011
ASV_277	1.003	9.37	0.0028678595671205	0.100642801360232	Enriched	0.047	0.023	0.063	0.066	0.049	0.023	0.025	0.02	0.051	0.066	0.06	0.054	0.037	0.012	0.02	0.046	0.033	0.015	0	0.012	0.022	0.025	0.047	0.009	0.038
ASV_471	-0.747	11.579	0.241891523755757	0.485934614079293	NotSig	0.057	0.095	0.008	0.007	0.012	0.005	0.01	0.114	0.089	0.154	0.005	0.14	0.079	0.132	0.306	0.005	0.115	0.04	0.119	0.123	0.111	0.175	0.002	0.006	0.005
ASV_250	0.247	13.086	0.840008006555487	0.908299973822439	NotSig	0.121	0.102	0.641	0.162	0.216	0.002	0.088	0	0	0.003	0.218	0	0	0	0.005	0.076	0	0.87	0.223	0.005	0.031	0.003	0.007	0	0.002
ASV_994	-1.667	12.901	0.228954794516121	0.485934614079293	NotSig	0.04	0.127	0.008	0.005	0	0.002	0	0	0.019	0.017	0	0.126	0.263	0	0.008	0	0.266	0	0.079	0.265	0.765	0.013	0.059	0	0.066
ASV_243	-0.776	11.587	0.302263981276507	0.519205913431402	NotSig	0.045	0.076	0.076	0.018	0.002	0.009	0.02	0.078	0.007	0.132	0.002	0.064	0.081	0.009	0.02	0.308	0.146	0.132	0	0.06	0.034	0	0	0.152	0.056
ASV_272	0.807	11.463	0.129245778145612	0.402066841522308	NotSig	0.097	0.056	0.05	0.052	0.123	0.04	0.025	0.112	0.123	0.168	0.051	0.044	0.282	0.017	0.088	0.044	0.005	0.045	0.021	0.065	0.06	0.018	0.054	0.102	0.149
ASV_301	-0.182	10.906	0.648597066452138	0.777313071132301	NotSig	0.069	0.078	0.113	0.116	0.035	0.009	0.063	0.05	0.07	0.077	0.06	0.044	0.115	0.099	0.015	0.049	0.102	0.192	0.072	0.169	0.094	0.018	0.03	0.078	0.016
ASV_290	1.709	11.39	0.0694182827171679	0.300229417683029	NotSig	0.08	0.024	0.021	0.032	0.007	0.002	0.038	0.086	0.065	0.223	0.023	0.268	0.113	0.007	0.015	0.044	0.026	0.007	0.064	0.058	0.019	0	0	0.015	0.038
ASV_259	-0.504	10.586	0.0615681705479593	0.284519576017084	NotSig	0.064	0.091	0.071	0.046	0.09	0.119	0.088	0.039	0.041	0.017	0.086	0.062	0.044	0.078	0.053	0.059	0.118	0.135	0.154	0.051	0.08	0.094	0.128	0.072	0.068
ASV_254	0.719	11.28	0.347473305151719	0.553017394709784	NotSig	0.074	0.045	0.04	0.249	0.083	0.239	0.098	0.003	0.012	0.017	0.062	0.002	0.005	0.024	0.02	0.046	0.043	0.042	0.008	0.092	0.005	0.152	0.027	0.048	0.029
ASV_310	0.05	10.019	0.935672159682668	0.957651035916825	NotSig	0.03	0.029	0.055	0.014	0.005	0.016	0.013	0.092	0.024	0.014	0.014	0.017	0.071	0.012	0.03	0	0.023	0.002	0.032	0.104	0.012	0.008	0.037	0.012	0.081
ASV_313	-6.843	12.438	0.0209000097422366	0.206429818100269	NotSig	0.001	0.158	0.003	0.002	0	0	0.003	0	0	0.003	0	0	0.005	0.472	0.258	0.005	0.555	0.007	0.008	0.007	0.005	0.005	0.342	0.09	0.136
ASV_265	-1.797	9.631	0.140241919202127	0.406092539116364	NotSig	0.005	0.017	0	0.005	0	0	0.005	0.003	0	0.025	0.002	0.005	0.01	0.009	0.003	0.054	0.079	0.037	0.011	0.007	0.002	0	0	0.003	0
ASV_326	-1.802	11.509	0.0240854255691703	0.206429818100269	NotSig	0.03	0.105	0.003	0.032	0.037	0.023	0	0.033	0.067	0.039	0.021	0.062	0.015	0.118	0.033	0.005	0.072	0.022	0.061	0.089	0.188	0.291	0.286	0.054	0.043
ASV_307	0.807	10.37	0.303011975707507	0.519205913431402	NotSig	0.032	0.018	0	0.132	0.019	0.002	0.04	0.006	0.029	0.014	0.002	0.034	0.069	0.005	0.018	0	0.003	0	0.016	0.043	0.024	0.033	0.037	0.018	0.02
ASV_287	0.118	10.466	0.743193176904032	0.848965988598239	NotSig	0.059	0.055	0.032	0.141	0.065	0.049	0.045	0.031	0.043	0.052	0.079	0.049	0.066	0.087	0.058	0.02	0.026	0.022	0.019	0.056	0.135	0.094	0.049	0.024	0.068
ASV_295	0.589	11.061	0.250906527256546	0.485934614079293	NotSig	0.078	0.052	0.024	0.03	0.06	0.028	0.005	0.092	0.142	0.129	0.062	0.066	0.214	0.009	0.068	0.073	0.003	0.03	0.034	0.06	0.051	0.01	0.052	0.131	0.097
ASV_260	-0.16	11.488	0.795567725912316	0.888821085726214	NotSig	0.086	0.097	0.016	0.027	0.012	0.105	0.025	0.156	0.101	0.16	0.002	0.059	0.287	0.021	0.003	0.1	0.018	0.022	0.117	0.217	0.234	0	0.01	0.173	0.244
ASV_288	0.012	10.222	0.978645309725982	0.985250440702607	NotSig	0.042	0.041	0.032	0.016	0.016	0.019	0.025	0.059	0.041	0.113	0.03	0.052	0.056	0.007	0.063	0.034	0.018	0.037	0.072	0.022	0.014	0.043	0.039	0.119	0.027
