ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	H64	H66	H67	H68	H95	H96	M30	M31	M32	M33	M34	M35
ASV_4	-0.489	12.986	0.670081850548654	0.788331588880769	NotSig	0.622	0.531	0.03	0.021	0.229	0.685	1.317	1.45	0.088	0.123	0.052	0.123	2.743	0.058
ASV_148	-0.218	10.994	0.688586496877121	0.804841359986246	NotSig	0.172	0.148	0.12	0.106	0.232	0.169	0.155	0.251	0.132	0.341	0.153	0.058	0.101	0.103
ASV_11	-0.389	13.875	0.695265390327623	0.807404969412724	NotSig	1.307	1.18	0.06	0.352	3.357	0.396	2.592	1.087	0.57	5.573	0.173	0.43	0.114	0.218
ASV_1446	-0.255	11.285	0.731107511503643	0.843585590196511	NotSig	0.205	0.182	0.167	0.082	0.198	0.152	0.248	0.384	0.051	0.672	0.183	0.039	0.091	0.055
ASV_96	-0.172	11.292	0.735819669019266	0.843614907155846	NotSig	0.224	0.18	0.127	0.257	0.471	0.092	0.242	0.154	0.193	0.155	0.257	0.157	0.119	0.202
ASV_71	0.258	11.564	0.743268320478801	0.84676137776066	NotSig	0.314	0.182	0.187	0.034	0.688	0.565	0.081	0.332	0.372	0.079	0.035	0.437	0.078	0.094
ASV_80	0.317	12.175	0.755200205139386	0.854943628459683	NotSig	0.454	0.279	0.294	0.13	0.282	0.08	0.681	1.256	0.049	1.346	0.02	0.01	0.149	0.101
ASV_867	0.194	11.771	0.769105927148749	0.865244168042342	NotSig	0.359	0.225	0.239	0.477	0.364	0.133	0.851	0.088	0.584	0.208	0.094	0.2	0.192	0.07
ASV_57	0.138	8.706	0.810412540863962	0.902202292725115	NotSig	0.036	0.022	0.022	0.037	0.036	0.022	0.063	0.034	0.017	0.025	0.022	0.041	0.021	0.007
ASV_47	0.149	12.125	0.811982063452603	0.902202292725115	NotSig	0.434	0.292	0.91	0.196	0.405	0.611	0.2	0.28	0.354	0.454	0.543	0.171	0.135	0.094
ASV_55	0.148	12.451	0.824202853506711	0.909779512616228	NotSig	0.539	0.363	0.321	0.223	0.543	0.536	0.579	1.035	0.249	0.938	0.476	0.058	0.277	0.18
ASV_192	-0.195	11.038	0.828910222605897	0.909779512616228	NotSig	0.177	0.146	0.032	0.731	0.195	0.029	0.054	0.02	0.059	0.09	0.395	0.034	0.206	0.094
ASV_17	-0.196	13.012	0.847689279639664	0.916404370838089	NotSig	0.77	0.61	0.025	0.175	1.861	0.287	1.613	0.662	0.318	2.898	0.052	0.225	0.048	0.12
ASV_113	-0.13	11.41	0.849299153616582	0.916404370838089	NotSig	0.243	0.182	0.12	0.082	0.348	0.405	0.182	0.319	0.095	0.019	0.252	0.121	0.361	0.247
ASV_77	-0.132	12.775	0.851154608711576	0.916404370838089	NotSig	0.635	0.48	0.708	0.395	0.712	1.12	0.466	0.409	0.064	0.496	1.298	0.635	0.277	0.11
ASV_147	0.095	9.992	0.859439202533654	0.916404370838089	NotSig	0.091	0.065	0.122	0.064	0.08	0.053	0.102	0.129	0.125	0.028	0.044	0.075	0.041	0.079
ASV_1445	-0.117	10.131	0.860401881509094	0.916404370838089	NotSig	0.096	0.076	0.237	0.024	0.116	0.125	0.033	0.041	0.095	0.155	0.054	0.082	0.032	0.038
ASV_86	0.092	11.838	0.881898119104187	0.920004823252263	NotSig	0.36	0.247	0.396	0.276	0.355	0.767	0.272	0.093	0.33	0.278	0.56	0.089	0.114	0.11
ASV_195	0.137	6.498	0.886135190048486	0.920004823252263	NotSig	0.003	0.002	0.002	0.008	0.002	0	0.003	0.002	0	0.002	0.002	0	0.002	0.005
ASV_36	0.156	6.981	0.886391977583031	0.920004823252263	NotSig	0.007	0.004	0.01	0.005	0.014	0	0.003	0.007	0	0	0	0	0.009	0.017
ASV_64	0.093	12.582	0.888970416744748	0.920004823252263	NotSig	0.584	0.402	0.274	0.223	0.697	0.598	0.597	1.114	0.164	0.994	0.622	0.101	0.309	0.226
ASV_133	0.181	9.757	0.889337995810521	0.920004823252263	NotSig	0.09	0.059	0.01	0.019	0.48	0.005	0.003	0.025	0	0.012	0.02	0.002	0.009	0.312
ASV_49	-0.106	12.773	0.924018998429509	0.948299194984975	NotSig	0.643	0.53	0.002	0.034	1.214	0.022	1.35	1.236	0.731	0.014	0.797	0.461	0.062	1.116
ASV_44	-0.055	12.46	0.927225879540865	0.948299194984975	NotSig	0.509	0.403	0.591	0.821	0.27	0.268	0.705	0.398	0.53	0.183	0.97	0.273	0.151	0.312
ASV_160	-0.043	11.219	0.940525862385541	0.952721216325344	NotSig	0.212	0.159	0.269	0.503	0.164	0.101	0.137	0.095	0.142	0.13	0.123	0.2	0.165	0.192
ASV_31	-0.077	13.582	0.94378088963788	0.952721216325344	NotSig	1.153	0.921	0.007	0.048	2.078	0.048	2.745	1.99	1.383	0.03	1.283	0.884	0.107	1.836
ASV_6	-0.085	8.278	0.947428320679092	0.952721216325344	NotSig	0.022	0.016	0.04	0.016	0.029	0	0.003	0.043	0	0	0	0.005	0.055	0.038
ASV_15	0.022	13.579	0.975172600287216	0.975172600287216	NotSig	1.209	0.841	0.294	1.264	1.757	2.172	1.302	0.463	0.78	0.322	0.101	1.084	0.725	2.035
