OTU	Group
ASV_30	MD7
ASV_30	MD8
ASV_30	MD9
ASV_30	NC1
ASV_30	NC2
ASV_30	NC3
ASV_30	NC4
ASV_30	NC5
ASV_30	NC8
ASV_35	HD11
ASV_35	HD12
ASV_35	HD13
ASV_35	HD15
ASV_35	HD3
ASV_35	HD4
ASV_35	HD7
ASV_35	HD8
ASV_35	MD1
ASV_35	MD10
ASV_35	MD12
ASV_35	MD14
ASV_35	MD2
ASV_35	MD3
ASV_35	MD4
ASV_35	MD6
ASV_35	MD7
ASV_35	MD9
ASV_35	NC4
ASV_35	NC9
ASV_52	HD10
ASV_52	HD11
ASV_52	HD12
ASV_52	HD13
ASV_52	HD14
ASV_52	HD15
ASV_52	HD2
ASV_52	HD3
ASV_52	HD4
ASV_52	HD7
ASV_52	HD8
ASV_52	HD9
ASV_52	MD10
ASV_52	MD11
ASV_52	MD12
ASV_52	MD14
ASV_52	MD2
ASV_52	MD5
ASV_52	MD7
ASV_52	MD8
ASV_52	MD9
ASV_52	NC11
ASV_52	NC12
ASV_52	NC15
ASV_50	HD11
ASV_50	HD12
ASV_50	HD13
ASV_50	HD14
ASV_50	HD15
ASV_50	HD3
ASV_50	HD4
ASV_50	HD6
ASV_50	HD8
ASV_50	MD1
ASV_50	MD14
ASV_50	MD2
ASV_50	MD3
ASV_50	MD6
ASV_50	MD7
ASV_50	MD8
ASV_50	MD9
ASV_50	NC1
ASV_50	NC10
ASV_50	NC13
ASV_50	NC14
ASV_50	NC15
ASV_50	NC2
ASV_50	NC3
ASV_50	NC4
ASV_50	NC6
ASV_50	NC7
ASV_50	NC9
ASV_36	HD10
ASV_36	HD2
ASV_36	HD3
ASV_36	HD4
ASV_36	HD5
ASV_36	HD6
ASV_36	HD7
ASV_36	HD8
ASV_36	HD9
ASV_36	MD1
ASV_36	MD10
ASV_36	MD2
ASV_36	MD3
ASV_36	MD4
ASV_36	MD5
ASV_36	MD6
ASV_36	MD7
ASV_36	MD8
ASV_36	MD9
ASV_36	NC1
ASV_36	NC10
ASV_36	NC2
ASV_36	NC3
ASV_36	NC4
ASV_36	NC5
ASV_36	NC7
ASV_36	NC8
ASV_36	NC9
ASV_33	HD10
ASV_33	HD11
ASV_33	HD12
ASV_33	HD2
ASV_33	HD3
ASV_33	HD4
ASV_33	HD5
ASV_33	HD6
ASV_33	HD7
ASV_33	HD8
ASV_33	HD9
ASV_33	MD1
ASV_33	MD10
ASV_33	MD11
ASV_33	MD12
ASV_33	MD14
ASV_33	MD2
ASV_33	MD3
ASV_33	MD4
ASV_33	MD5
ASV_33	MD6
ASV_33	MD7
ASV_33	MD8
ASV_33	MD9
ASV_33	NC1
ASV_33	NC10
ASV_33	NC2
ASV_33	NC3
ASV_33	NC4
ASV_33	NC5
ASV_33	NC7
ASV_33	NC8
ASV_33	NC9
ASV_417	HD11
ASV_417	HD12
ASV_417	HD13
ASV_417	HD14
ASV_417	HD15
ASV_417	HD3
ASV_417	HD4
ASV_417	HD7
ASV_417	HD8
ASV_417	MD10
ASV_417	MD11
ASV_417	MD12
ASV_417	MD14
ASV_417	MD2
ASV_417	MD3
ASV_417	MD4
ASV_417	MD7
ASV_417	MD9
ASV_417	NC1
ASV_417	NC10
ASV_417	NC11
ASV_417	NC12
ASV_417	NC15
ASV_417	NC2
ASV_417	NC3
ASV_417	NC4
ASV_417	NC5
ASV_417	NC7
ASV_43	MD1
ASV_43	MD10
ASV_43	MD11
ASV_43	MD12
ASV_43	MD2
ASV_43	MD5
ASV_43	MD6
ASV_43	MD7
ASV_43	MD8
ASV_38	HD10
ASV_38	HD11
ASV_38	HD13
ASV_38	HD3
ASV_38	HD4
ASV_38	HD6
ASV_38	HD7
ASV_38	HD8
ASV_38	HD9
ASV_38	MD1
ASV_38	MD11
ASV_38	MD14
ASV_38	MD2
ASV_38	MD3
ASV_38	MD4
ASV_38	MD9
ASV_38	NC11
ASV_38	NC13
ASV_38	NC14
ASV_56	HD11
ASV_56	HD12
ASV_56	HD13
ASV_56	MD10
ASV_56	MD15
ASV_56	MD4
ASV_56	NC1
ASV_56	NC10
ASV_56	NC11
ASV_56	NC12
ASV_56	NC13
ASV_56	NC14
ASV_56	NC15
ASV_56	NC6
ASV_56	NC7
ASV_56	NC9
ASV_34	NC1
ASV_34	NC10
ASV_34	NC11
ASV_34	NC12
ASV_34	NC13
ASV_34	NC14
ASV_34	NC15
ASV_34	NC2
ASV_34	NC3
ASV_34	NC4
ASV_34	NC6
ASV_34	NC7
ASV_34	NC8
ASV_34	NC9
ASV_1253	HD10
ASV_1253	HD11
ASV_1253	HD12
ASV_1253	HD13
ASV_1253	HD14
ASV_1253	HD15
ASV_1253	HD2
ASV_1253	HD4
ASV_1253	HD6
