H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_132	47	104	56	56	79	111	75	54	33	54	104	49	75	70	72	29	43	140	54	102	34	117	145	95	26	79	91	35	148	58	25	26	23	121	51	31	33	20	10	50	69	15	26	10	9	14	21
ASV_573	57	72	42	73	77	54	79	106	47	64	62	72	74	64	63	14	60	24	45	58	49	40	68	38	35	2	33	22	29	64	38	21	34	13	30	173	26	73	65	73	239	31	37	84	42	90	178
ASV_142	0	0	0	3	5	2	1	3	5	1	0	5	1	1	1	1	4	1	0	1	1	1	3	5	4	2	2	3	6	2	1	0	0	2	1	25	41	53	123	63	582	56	66	790	506	89	409
ASV_111	177	21	27	168	200	110	102	135	88	58	77	24	30	28	72	9	135	19	48	39	114	157	92	111	31	64	60	12	73	69	84	75	116	56	23	7	2	4	4	12	38	5	0	4	28	13	3
ASV_117	106	4	80	77	82	54	64	310	22	30	41	99	30	63	39	19	55	26	47	72	39	24	77	256	7	58	48	52	296	105	97	83	96	136	2	3	1	9	5	9	45	5	5	7	29	32	0
ASV_151	134	5	0	39	5	3	275	47	102	10	163	449	6	3	0	142	5	1	96	4	3	81	7	75	122	3	0	4	149	122	28	247	4	70	5	11	6	49	16	49	7	14	4	29	163	69	13
ASV_219	30	9	15	22	36	1311	30	15	43	23	6	61	9	149	75	25	125	10	38	22	47	5	32	3	5	25	4	53	2	9	10	9	9	3	12	92	49	11	6	4	7	11	2	8	79	149	36
ASV_121	93	79	72	94	92	34	97	105	64	55	4	1	78	90	85	26	62	22	56	37	5	33	56	151	103	111	41	7	65	77	124	156	5	131	5	50	12	3	3	46	82	43	1	21	113	15	19
ASV_147	137	12	21	53	49	24	33	22	56	10	34	57	17	58	24	25	51	17	35	62	11	81	88	51	12	18	31	18	33	63	29	22	34	27	24	12	34	140	61	37	146	154	103	109	178	219	99
ASV_139	1	0	0	2	5	0	0	0	0	1	0	0	3	0	0	1	2	1	0	1	1	0	3	0	0	2	1	3	2	1	4	0	1	1	1	27	40	53	109	81	562	50	41	665	506	97	410
ASV_154	2	0	0	0	1	2	1	0	1	0	1	2	0	1	1	0	0	0	0	4	1	2	3	0	1	0	0	1	1	2	5	1	2	1	1	109	126	62	286	42	309	19	114	486	321	255	432
ASV_106	1	0	0	1	0	8	7	3	9	4	5	4	69	2149	8	4	434	5	2	3	0	6	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	8	0	0	1	0	0	0	0	2	0
ASV_167	54	7	41	41	100	5	71	23	0	8	44	25	14	85	83	29	93	124	43	149	29	269	110	89	11	167	69	70	5	154	41	29	36	91	13	7	12	6	7	50	47	74	0	27	13	29	59
ASV_130	29	47	39	41	32	52	123	35	11	27	103	110	45	55	47	111	15	60	73	153	46	144	128	112	37	89	50	94	147	34	24	16	15	76	17	8	5	31	39	22	38	36	33	7	15	17	13
ASV_170	75	114	122	111	83	150	15	150	19	27	42	59	51	41	9	171	30	37	58	89	53	46	14	127	28	23	48	30	50	27	17	91	25	40	38	13	45	32	6	109	18	35	31	16	23	35	1
ASV_125	38	2	6	56	16	28	146	21	58	11	30	8	243	27	18	27	43	217	31	23	58	179	58	47	40	34	105	50	134	21	9	15	14	13	20	166	80	10	19	78	38	37	20	54	18	33	74
