source,target,correlation,direct,cor
ASV_342,ASV_374,1,undirected,+
ASV_357,ASV_179,1,undirected,+
ASV_489,ASV_179,-1,undirected,-
ASV_558,ASV_179,-1,undirected,-
ASV_451,ASV_179,1,undirected,+
ASV_704,ASV_179,-1,undirected,-
ASV_342,ASV_179,1,undirected,+
ASV_489,ASV_357,-1,undirected,-
ASV_558,ASV_357,-1,undirected,-
ASV_451,ASV_357,1,undirected,+
ASV_704,ASV_357,-1,undirected,-
ASV_342,ASV_357,1,undirected,+
ASV_558,ASV_489,1,undirected,+
ASV_451,ASV_489,-1,undirected,-
ASV_704,ASV_489,1,undirected,+
ASV_342,ASV_489,-1,undirected,-
ASV_451,ASV_558,-1,undirected,-
ASV_704,ASV_558,1,undirected,+
ASV_342,ASV_558,-1,undirected,-
ASV_704,ASV_451,-1,undirected,-
ASV_342,ASV_451,1,undirected,+
ASV_342,ASV_704,-1,undirected,-
ASV_94,ASV_109,1,undirected,+
ASV_46,ASV_109,1,undirected,+
ASV_266,ASV_109,1,undirected,+
ASV_117,ASV_109,1,undirected,+
ASV_388,ASV_109,1,undirected,+
ASV_183,ASV_109,-1,undirected,-
ASV_354,ASV_109,1,undirected,+
ASV_421,ASV_109,1,undirected,+
ASV_484,ASV_109,-1,undirected,-
ASV_167,ASV_109,1,undirected,+
ASV_187,ASV_109,1,undirected,+
ASV_1549,ASV_109,1,undirected,+
ASV_384,ASV_109,-1,undirected,-
ASV_562,ASV_109,-1,undirected,-
ASV_374,ASV_109,1,undirected,+
ASV_179,ASV_109,1,undirected,+
ASV_357,ASV_109,1,undirected,+
ASV_489,ASV_109,-1,undirected,-
ASV_558,ASV_109,-1,undirected,-
ASV_451,ASV_109,1,undirected,+
ASV_704,ASV_109,-1,undirected,-
ASV_342,ASV_109,1,undirected,+
ASV_34,ASV_50,-1,undirected,-
ASV_417,ASV_50,1,undirected,+
ASV_222,ASV_50,1,undirected,+
ASV_240,ASV_50,1,undirected,+
ASV_255,ASV_50,1,undirected,+
ASV_37,ASV_50,1,undirected,+
ASV_487,ASV_50,1,undirected,+
ASV_231,ASV_50,1,undirected,+
ASV_1526,ASV_50,-1,undirected,-
ASV_1407,ASV_50,-1,undirected,-
ASV_244,ASV_50,1,undirected,+
ASV_709,ASV_50,-1,undirected,-
ASV_714,ASV_50,1,undirected,+
ASV_860,ASV_50,-1,undirected,-
ASV_1063,ASV_50,-1,undirected,-
ASV_643,ASV_50,1,undirected,+
ASV_1193,ASV_50,-1,undirected,-
ASV_531,ASV_50,1,undirected,+
ASV_417,ASV_34,-1,undirected,-
ASV_222,ASV_34,-1,undirected,-
ASV_240,ASV_34,-1,undirected,-
ASV_255,ASV_34,-1,undirected,-
ASV_37,ASV_34,-1,undirected,-
ASV_487,ASV_34,-1,undirected,-
ASV_231,ASV_34,-1,undirected,-
ASV_1526,ASV_34,1,undirected,+
ASV_1407,ASV_34,1,undirected,+
ASV_244,ASV_34,-1,undirected,-
ASV_709,ASV_34,1,undirected,+
ASV_714,ASV_34,-1,undirected,-
ASV_860,ASV_34,1,undirected,+
ASV_1063,ASV_34,1,undirected,+
ASV_643,ASV_34,-1,undirected,-
ASV_1193,ASV_34,1,undirected,+
