source,target,correlation,direct,cor
ASV_1255,ASV_131,0.940382098310931,undirected,+
ASV_813,ASV_131,0.891251437526242,undirected,+
ASV_1411,ASV_131,0.966482370232697,undirected,+
ASV_1059,ASV_131,0.952300836240601,undirected,+
ASV_968,ASV_131,0.986032865286319,undirected,+
ASV_1412,ASV_131,0.943289580634835,undirected,+
ASV_1446,ASV_79,0.929024733300879,undirected,+
ASV_112,ASV_79,0.884292136977811,undirected,+
ASV_165,ASV_79,0.877376590846884,undirected,+
ASV_254,ASV_79,0.938998069549999,undirected,+
ASV_102,ASV_79,-0.882737112908881,undirected,-
ASV_369,ASV_79,0.935789630900887,undirected,+
ASV_427,ASV_79,0.951310843241841,undirected,+
ASV_796,ASV_79,0.929178514830925,undirected,+
ASV_414,ASV_79,0.899544340797021,undirected,+
ASV_652,ASV_79,0.905658599611222,undirected,+
ASV_504,ASV_79,0.894672242884435,undirected,+
ASV_619,ASV_79,0.9635503338055,undirected,+
ASV_1150,ASV_79,0.919490762080359,undirected,+
ASV_458,ASV_75,0.880633412821761,undirected,+
ASV_177,ASV_96,0.884822260897348,undirected,+
ASV_322,ASV_96,0.923525992981233,undirected,+
ASV_528,ASV_96,0.911780452932126,undirected,+
ASV_743,ASV_96,0.941174815278603,undirected,+
ASV_290,ASV_167,0.89508106504014,undirected,+
ASV_1194,ASV_167,0.928469144873304,undirected,+
ASV_290,ASV_126,0.88585568863309,undirected,+
ASV_317,ASV_126,0.906195825154034,undirected,+
ASV_471,ASV_126,0.946120772611643,undirected,+
ASV_261,ASV_126,0.894619679498035,undirected,+
ASV_425,ASV_126,0.943821954253589,undirected,+
ASV_733,ASV_126,0.919204241968051,undirected,+
ASV_459,ASV_126,0.880440162792673,undirected,+
ASV_570,ASV_218,0.89657829313702,undirected,+
ASV_290,ASV_98,0.932901088583286,undirected,+
ASV_271,ASV_98,0.983243777341889,undirected,+
ASV_812,ASV_98,0.947286055864758,undirected,+
ASV_411,ASV_98,0.927732223769177,undirected,+
ASV_733,ASV_98,0.921286209507093,undirected,+
ASV_1135,ASV_98,0.952300715388112,undirected,+
ASV_453,ASV_162,0.885834043590621,undirected,+
ASV_672,ASV_162,0.899087880860102,undirected,+
ASV_679,ASV_162,0.909740012464787,undirected,+
ASV_145,ASV_122,0.890762932150187,undirected,+
ASV_11,ASV_109,0.879981032299661,undirected,+
ASV_172,ASV_109,0.897164465762721,undirected,+
ASV_17,ASV_109,0.909908113100248,undirected,+
ASV_225,ASV_109,0.907958353355621,undirected,+
ASV_188,ASV_109,0.903108983255746,undirected,+
ASV_297,ASV_109,0.886596460875289,undirected,+
ASV_994,ASV_109,0.88722748386922,undirected,+
ASV_533,ASV_109,0.909849927762119,undirected,+
ASV_365,ASV_109,0.921078826038866,undirected,+
ASV_713,ASV_109,0.891922353464776,undirected,+
ASV_997,ASV_109,0.891068340453194,undirected,+
ASV_394,ASV_109,0.904111606709796,undirected,+
ASV_755,ASV_109,0.895927873384753,undirected,+
ASV_607,ASV_109,0.915974741456319,undirected,+
ASV_459,ASV_109,0.914789951925888,undirected,+
ASV_832,ASV_94,0.899772803476554,undirected,+
ASV_917,ASV_94,0.944046928178024,undirected,+
ASV_137,ASV_114,0.894392431313081,undirected,+
ASV_552,ASV_114,0.879993565968279,undirected,+
ASV_219,ASV_114,0.878213175380768,undirected,+
ASV_204,ASV_114,0.885709301156038,undirected,+
ASV_291,ASV_114,0.89456260742702,undirected,+
ASV_370,ASV_114,0.931642794234445,undirected,+
ASV_362,ASV_114,0.883656092740519,undirected,+
ASV_495,ASV_114,0.934352655264958,undirected,+
ASV_475,ASV_114,0.885499622162035,undirected,+
ASV_581,ASV_114,0.903572178660356,undirected,+
ASV_591,ASV_114,0.902498344071866,undirected,+
ASV_925,ASV_114,0.911795393177405,undirected,+
ASV_1356,ASV_76,0.883727989353494,undirected,+
ASV_49,ASV_31,0.985532504167576,undirected,+
ASV_310,ASV_31,0.89535357728718,undirected,+
ASV_1427,ASV_31,0.965896343888746,undirected,+
ASV_1467,ASV_31,0.968511335970296,undirected,+
ASV_1309,ASV_31,0.979378503490888,undirected,+
ASV_387,ASV_31,0.908163591207144,undirected,+
ASV_608,ASV_31,0.962291324191516,undirected,+
ASV_97,ASV_125,0.920385704219615,undirected,+
ASV_852,ASV_125,0.902655811319015,undirected,+
ASV_1026,ASV_125,0.884011092762229,undirected,+
ASV_172,ASV_11,0.881652921113049,undirected,+
ASV_17,ASV_11,0.995364912479687,undirected,+
ASV_238,ASV_11,0.881725152815531,undirected,+
ASV_260,ASV_11,0.955565456423275,undirected,+
ASV_225,ASV_11,0.925342650880526,undirected,+
ASV_713,ASV_11,0.936553570840937,undirected,+
ASV_577,ASV_11,0.925358323325822,undirected,+
ASV_567,ASV_11,0.879167563602108,undirected,+
