ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	MD1	MD2	MD3	MD4	MD5	MD11	MD12	MD13	MD14	MD15
ASV_1413	-1.791	10.122	0.0615588999693283	0.151099118106533	NotSig	0.059	0.162	0.025	0.12	0.077	0.06	0.015	0.209	0.297	0.002	0.302	0
ASV_86	-1.436	11.17	0.0632978839777019	0.153621830777344	NotSig	0.138	0.322	0.133	0.132	0.077	0.076	0.272	1.055	0.345	0.027	0.17	0.012
ASV_129	1.322	10.635	0.0673207564626531	0.161569815510367	NotSig	0.274	0.053	0.032	0.347	0.235	0.429	0.326	0.104	0.026	0.018	0.091	0.027
ASV_162	1.529	10.298	0.0688104780534275	0.163330365489454	NotSig	0.22	0.065	0.096	0.277	0.205	0.332	0.19	0.259	0.033	0.004	0.029	0
ASV_169	1.376	9.166	0.071042179045443	0.166310833128552	NotSig	0.083	0.025	0.142	0.081	0.06	0.063	0.069	0.082	0.015	0.007	0.018	0
ASV_34	-1.879	9.627	0.071606053152571	0.166310833128552	NotSig	0.035	0.029	0.068	0.021	0.044	0.03	0.011	0.008	0.019	0.014	0.013	0.092
ASV_30	1.491	12.931	0.0741251050939289	0.170330028726475	NotSig	1.357	0.168	0.648	0.561	1.748	2.405	1.424	0.225	0.123	0.101	0.214	0.177
ASV_165	-1.663	7.48	0.0763478346173921	0.173305323237035	NotSig	0.008	0.007	0.005	0.011	0.013	0.005	0.006	0.002	0.005	0.011	0.007	0.011
ASV_222	-1.668	7.248	0.0772765489830822	0.173305323237035	NotSig	0.006	0.006	0.007	0.005	0.004	0.007	0.007	0.006	0.005	0.009	0.002	0.009
ASV_122	-1.834	10.706	0.0778269275647797	0.173305323237035	NotSig	0.086	0.216	0.012	0.014	0.288	0.111	0.006	0.04	0.381	0.022	0.627	0.011
ASV_145	1.189	9.799	0.0805528880087893	0.177545140917331	NotSig	0.135	0.045	0.141	0.138	0.097	0.121	0.177	0.128	0.031	0.002	0.059	0.007
ASV_150	-1.375	11.019	0.0843952162446401	0.183765307021361	NotSig	0.129	0.092	0.123	0.116	0.108	0.128	0.172	0.092	0.07	0.111	0.06	0.126
ASV_106	1.191	11.12	0.0850765310284079	0.183765307021361	NotSig	0.358	0.085	0.181	0.303	0.348	0.43	0.526	0.231	0.096	0.011	0.038	0.05
ASV_31	-1.748	9.207	0.0893773697345849	0.191143681808617	NotSig	0.029	0.023	0.028	0.021	0.013	0.005	0.076	0.01	0.021	0.016	0.007	0.06
ASV_24	-1.521	10.026	0.0991756911945952	0.210019110765025	NotSig	0.059	0.041	0.064	0.039	0.079	0.063	0.05	0.028	0.034	0.022	0.013	0.106
ASV_10	1.701	12.73	0.105087328374885	0.22037730999005	NotSig	1.025	0.329	2.822	0.166	0.757	1.209	0.17	1.28	0.209	0.005	0.128	0.023
ASV_91	1.614	10.478	0.107066462845981	0.220432926247654	NotSig	0.196	0.047	0.69	0.127	0.101	0.058	0.006	0.09	0.027	0.023	0.091	0.004
ASV_377	1.105	10.786	0.107154894703721	0.220432926247654	NotSig	0.278	0.095	0.183	0.233	0.271	0.42	0.285	0.13	0.182	0.004	0.15	0.009
ASV_1027	-1.767	10.966	0.109727630605832	0.223595926517544	NotSig	0.089	0.309	0.233	0.021	0.103	0.083	0.006	0.716	0.01	0.016	0.797	0.004
ASV_54	1.018	11.273	0.111086660760042	0.223709940740229	NotSig	0.371	0.117	0.354	0.365	0.401	0.302	0.431	0.311	0.084	0.013	0.13	0.046
ASV_215	-1.537	6.38	0.112414456178068	0.223709940740229	NotSig	0.003	0.004	0.002	0	0.002	0.002	0.007	0.006	0.009	0	0.004	0.004
ASV_118	1.796	10.273	0.112890664540208	0.223709940740229	NotSig	0.166	0.038	0.699	0.071	0.033	0.026	0.002	0.084	0.027	0.018	0.06	0.002
ASV_171	1.623	9.593	0.122226516857052	0.24000843310112	NotSig	0.112	0.035	0.274	0.093	0.079	0.04	0.073	0.164	0.007	0.002	0	0.004
ASV_64	1.018	12.043	0.124384433611046	0.240118332769744	NotSig	0.631	0.192	0.649	0.529	0.81	0.502	0.664	0.283	0.158	0.043	0.415	0.058
ASV_157	-1.713	10.83	0.124505802176904	0.240118332769744	NotSig	0.077	0.228	0.295	0.012	0.005	0.065	0.006	0.05	0.552	0.022	0.505	0.012
ASV_82	-1.187	11.195	0.136221050621829	0.259843028237616	NotSig	0.157	0.128	0.167	0.069	0.3	0.135	0.116	0.142	0.05	0.049	0.227	0.175
ASV_193	-1.727	10.087	0.137139376014297	0.259843028237616	NotSig	0.044	0.133	0.183	0.004	0.005	0.025	0.002	0.024	0.297	0.007	0.325	0.014
ASV_90	1.019	10.573	0.146246933488171	0.274689892464738	NotSig	0.226	0.085	0.27	0.217	0.246	0.304	0.093	0.156	0.156	0.009	0.102	0.004
ASV_187	1.009	10.207	0.152380099097078	0.283742253491111	NotSig	0.187	0.064	0.08	0.18	0.126	0.43	0.119	0.164	0.036	0.004	0.106	0.012
ASV_85	-1.018	10.785	0.154395330801666	0.285037533787691	NotSig	0.135	0.217	0.078	0.092	0.158	0.188	0.158	0.471	0.269	0.018	0.324	0.005
ASV_125	-1.083	9.86	0.161458945297422	0.295551967663078	NotSig	0.063	0.048	0.1	0.044	0.037	0.1	0.034	0.048	0.034	0.054	0.068	0.035
ASV_205	0.945	9.736	0.17762812597849	0.322417438750873	NotSig	0.126	0.051	0.078	0.12	0.099	0.134	0.201	0.1	0.069	0.002	0.082	0.002
ASV_76	1.195	8.812	0.182080960963324	0.327745729733983	NotSig	0.067	0.011	0.03	0.078	0.172	0.049	0.004	0.014	0.009	0.014	0.016	0.004
ASV_113	0.994	11.098	0.18530869126751	0.330798986064315	NotSig	0.333	0.133	0.201	0.24	0.235	0.329	0.662	0.257	0.105	0.014	0.287	0.002
ASV_43	1.582	12.867	0.200919941659619	0.35544630299041	NotSig	1.197	0.333	2.021	1.901	0.013	0.016	2.034	0.993	0.6	0.049	0.007	0.016
ASV_81	1.008	11.559	0.202406922536206	0.35544630299041	NotSig	0.439	0.201	0.553	0.275	0.407	0.358	0.6	0.596	0.166	0.004	0.232	0.007
ASV_40	1.059	7.169	0.206382176223915	0.358774074561599	NotSig	0.015	0.004	0.016	0.014	0.015	0.016	0.015	0.01	0	0.002	0.004	0.004
ASV_41	1.3	10.281	0.207623885741666	0.358774074561599	NotSig	0.208	0.023	0.016	0.266	0.68	0.046	0.032	0.024	0.012	0.009	0.024	0.046
ASV_1365	-0.96	11.729	0.210682709801527	0.361170359659761	NotSig	0.24	0.389	0.418	0.062	0.165	0.17	0.384	0.756	0.367	0.058	0.744	0.021
ASV_48	-1.665	12.927	0.215701604901515	0.366862572115962	NotSig	0.384	1.271	0.829	0.079	0.57	0.441	0.002	3.364	0.009	0.022	2.959	0.004
ASV_28	1.159	12.903	0.227268312293923	0.383515276995996	NotSig	1.146	0.485	1.786	0.84	1.446	1.117	0.541	1.27	0.053	0.022	1.072	0.009
ASV_148	0.887	9.81	0.229951075991659	0.384429786222353	NotSig	0.121	0.048	0.206	0.109	0.093	0.137	0.06	0.034	0.034	0.005	0.157	0.007
ASV_68	0.86	11.701	0.231369778744935	0.384429786222353	NotSig	0.494	0.219	0.447	0.566	0.44	0.671	0.349	0.401	0.273	0.009	0.404	0.011
ASV_111	0.811	11.078	0.250281515725585	0.412677919058979	NotSig	0.289	0.113	0.539	0.307	0.315	0.2	0.084	0.146	0.25	0.018	0.126	0.025
ASV_114	-0.867	11.46	0.255540707418494	0.418157521230263	NotSig	0.224	0.362	0.219	0.238	0.26	0.146	0.257	0.927	0.328	0.011	0.536	0.009
ASV_23	0.8	12.383	0.270320366062617	0.436190034808259	NotSig	0.791	0.23	0.292	0.646	0.804	0.524	1.691	0.429	0.226	0.079	0.304	0.11
ASV_104	0.748	10.14	0.270599373445864	0.436190034808259	NotSig	0.158	0.044	0.073	0.127	0.191	0.086	0.311	0.078	0.048	0.02	0.046	0.027
ASV_99	-0.759	11.851	0.281528373763657	0.450445398021851	NotSig	0.329	0.403	0.164	0.45	0.304	0.467	0.259	1.434	0.262	0.072	0.207	0.041
ASV_52	-1.163	12.279	0.286370669298312	0.454824004179673	NotSig	0.406	0.698	0.02	1.741	0.07	0.083	0.119	2.363	0.9	0.027	0.183	0.018
ASV_13	-0.817	13.778	0.300889576713151	0.474395245036792	NotSig	1.222	0.986	0.582	1.39	1.173	1.818	1.147	1.46	0.904	0.608	1.617	0.342
ASV_231	-0.719	9.872	0.317787072455026	0.497405852538302	NotSig	0.077	0.096	0.085	0.097	0.035	0.037	0.131	0.16	0.204	0.011	0.099	0.005
ASV_110	-0.732	12.236	0.354991561489307	0.551641563177628	NotSig	0.432	0.235	0.149	0.205	0.546	0.777	0.485	0.291	0.159	0.252	0.298	0.174
ASV_105	-0.957	10.023	0.362343385198247	0.559044080020153	NotSig	0.063	0.063	0.246	0.019	0.024	0.007	0.017	0.04	0.13	0.077	0.064	0.004
ASV_15	0.909	13.034	0.399005672582442	0.611242732466719	NotSig	1.037	0.494	3.45	0.496	0.731	0.476	0.03	1.994	0.245	0.115	0.062	0.055
ASV_130	-0.633	11.546	0.403670345085758	0.614033764355801	NotSig	0.263	0.311	0.313	0.291	0.355	0.295	0.06	0.311	0.659	0.011	0.541	0.032
ASV_1658	0.482	10.779	0.419582985813806	0.629041728478552	NotSig	0.238	0.106	0.139	0.28	0.218	0.302	0.252	0.164	0.144	0.013	0.179	0.03
ASV_120	0.71	9.472	0.420902374821532	0.629041728478552	NotSig	0.096	0.02	0.021	0.042	0.064	0.032	0.319	0.028	0.022	0.013	0.015	0.025
ASV_38	-0.951	12.639	0.424387078705877	0.629041728478552	NotSig	0.483	0.879	0.596	0.153	0.889	0.771	0.007	2.255	0.007	0.025	2.096	0.012
ASV_78	-0.595	10.89	0.42518561276791	0.629041728478552	NotSig	0.171	0.211	0.171	0.093	0.156	0.343	0.093	0.425	0.276	0.014	0.335	0.005
