ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	NC10	NC11	NC12	NC13	NC14	NC15	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	MD10	MD11	MD12	MD13	MD14	MD15
ASV_377	0.121	12.036	0.740104399827485	0.780382190294287	NotSig	0.184	0.169	0.22	0.296	0.153	0.396	0.388	0.254	0.294	0.051	0.318	0.159	0.023	0.066	0.043	0.028	0.068	0.183	0.233	0.271	0.42	0.285	0.144	0.168	0.102	0.107	0.149	0.13	0.182	0.004	0.15	0.009
ASV_153	1.834	13.551	0.0426020145097779	0.0804295957468601	Enriched	0.277	0.078	0.663	0.21	0.102	0.119	0.063	0.41	0.297	0.094	1.2	0.649	0.046	0.201	0.016	0.08	0.009	0.012	0.288	0.328	0.339	0.03	0.006	0.005	0.004	0.03	0.002	0.012	0.05	0.011	0.033	0.018
ASV_124	-2.409	13.932	0.127040715757655	0.203993777193516	NotSig	0.045	0.239	0.002	0.017	0.005	0.003	0.019	0.085	0.005	0.082	0.03	0.013	0.015	0.015	0.005	0.376	0.002	0.011	0.071	1.563	0.998	0.034	0.014	0.012	0.014	0.522	0.029	0.181	0.019	0.013	0.104	0
ASV_110	-2.635	12.923	8.34652717206768e-05	0.00192081333625746	Depleted	0.05	0.314	0.093	0.118	0.099	0.108	0.129	0.014	0.026	0.131	0.003	0.023	0.002	0	0.002	0.009	0.002	0.149	0.205	0.546	0.777	0.485	0.371	0.396	0.097	0.096	0.408	0.291	0.159	0.252	0.298	0.174
ASV_121	2.327	14.104	0.0343268562626165	0.0719008475771022	Enriched	0.389	0.078	0.111	0.114	0.129	0.044	0.071	0.073	0.112	0.119	0.096	0.088	0.612	1.059	0.437	1.761	1.007	0.041	0.067	0.073	0.072	0.397	0.066	0.083	0.041	0.018	0.156	0.058	0.019	0.018	0.018	0.035
ASV_154	1.042	14.392	0.356380842383646	0.420138834625427	NotSig	0.258	0.125	0.129	0.05	0.046	0.237	0.158	0.15	0.052	0.044	0.126	0.131	0.077	0.274	2.151	0.121	0.123	0.032	0.243	0.161	0.172	0.451	0.018	0.097	0.036	0.185	0.038	0.106	0.173	0.014	0.126	0.025
ASV_138	-1.765	12.487	0.00122264821936421	0.00965847920990356	Depleted	0.07	0.238	0.1	0.062	0.032	0.101	0.181	0.06	0.218	0.012	0.103	0.095	0.027	0.013	0.031	0.007	0.007	0.16	0.238	0.214	0.494	0.188	0.232	0.15	0.246	0.1	0.312	0.271	0.376	0.009	0.574	0
ASV_159	0.438	12.627	0.357795652713267	0.420138834625427	NotSig	0.232	0.171	0.066	0.22	0.097	0.082	0.493	0.441	0.541	0.044	0.306	0.299	0.32	0.221	0.085	0.101	0.158	0.048	0.182	0.026	0.123	0.088	0.024	0.17	0.234	0.066	0.374	0.046	0.506	0.031	0.633	0.016
ASV_108	-2.206	15.175	0.26937346503086	0.347940725664861	NotSig	0.078	0.359	0.12	0.05	0.049	0.079	0.037	0.036	0.066	0.051	0.071	0.043	0.235	0.095	0.05	0.032	0.152	0.023	0.049	0.079	0.047	0.108	0.126	0.049	0.027	0.03	0.016	0.14	0.117	3.699	0.049	0.822
ASV_105	1.853	13.82	0.0378732946680534	0.0762384503058219	Enriched	0.358	0.099	0.291	1.447	0.446	0.068	1.015	0.027	0.41	0.882	0.055	0.1	0.144	0.11	0.207	0.015	0.16	0.246	0.019	0.024	0.007	0.017	0.379	0.035	0.05	0.037	0.357	0.04	0.13	0.077	0.064	0.004
ASV_272	-1.976	12.658	0.147529036396149	0.224186280798069	NotSig	0.024	0.096	0.027	0.023	0.042	0.022	0.009	0.003	0.052	0.003	0.074	0.043	0.004	0.015	0.024	0.006	0.017	0.007	0.347	0.042	0.647	0.196	0.02	0.014	0.009	0.07	0.038	0.014	0.012	0.013	0	0.005
ASV_134	-3.831	12.876	0.00865194897233462	0.0256204471630287	Depleted	0.014	0.203	0.011	0.021	0.011	0.027	0.047	0.002	0.003	0.002	0.008	0.008	0.025	0.013	0.01	0.015	0.011	0.062	0.439	0.612	0.752	0.267	0.174	0.21	0.363	0.089	0.047	0.004	0.005	0.002	0.015	0.007
ASV_1046	-2.594	12.454	0.0114059976033097	0.0285149940082742	Depleted	0.025	0.153	0.015	0.029	0.005	0.02	0.019	0.029	0.017	0.061	0.013	0.017	0.011	0.029	0.038	0.054	0.02	0.009	0.085	0.055	0.067	0.561	0.012	0.175	0.252	0.296	0.047	0.106	0.448	0.009	0.159	0.011
ASV_127	-1.866	13.013	0.00499731168689947	0.0198611105504979	Depleted	0.07	0.255	0.189	0.066	0.152	0.077	0.103	0.051	0.061	0.065	0.045	0.061	0.042	0.06	0.021	0.002	0.057	0.183	0.212	0.183	0.174	0.209	0.827	0.327	0.081	0.114	0.406	0.52	0.197	0.004	0.386	0.007
ASV_120	2.697	14.204	0.0435267259813638	0.0804295957468601	Enriched	0.401	0.062	0.035	0.026	0.033	0.015	0.009	0.034	0.102	0.078	0.068	0.045	0.861	1.191	0.51	1.888	1.126	0.021	0.042	0.064	0.032	0.319	0.052	0.09	0.034	0.021	0.151	0.028	0.022	0.013	0.015	0.025
ASV_167	-1.679	12.228	0.0399817460478786	0.0791188223277627	Depleted	0.04	0.129	0.025	0.017	0.018	0.024	0.009	0.029	0.052	0.003	0.065	0.106	0.067	0.042	0.023	0.095	0.028	0.151	0.48	0.2	0.453	0.052	0.018	0.014	0.147	0.123	0.02	0.058	0.115	0.022	0.068	0.009
ASV_183	3.772	14.093	0.0361039932039522	0.0746149192881679	Enriched	0.37	0.027	0.106	1.583	0.301	0.061	0.846	0.077	0.038	0.214	0.033	0.023	0.038	0.454	1.748	0.019	0.015	0.004	0.032	0.013	0.016	0.007	0.016	0.011	0.02	0.014	0.007	0.195	0.009	0.009	0.044	0.011
ASV_123	2.306	13.036	0.000568152797073307	0.00593821268864219	Enriched	0.349	0.071	0.053	0.175	0.396	0.497	0.614	0.322	0.057	0.101	0.29	0.317	0.84	0.084	0.734	0.342	0.408	0.021	0.101	0.066	0.141	0.082	0.002	0.044	0.067	0.037	0.089	0.108	0.182	0.005	0.113	0
ASV_149	-5.742	12.861	0.00223576061586326	0.0113127439744526	Depleted	0.004	0.212	0.004	0.007	0.007	0	0.005	0.003	0.005	0.003	0.008	0.002	0.004	0.002	0.003	0	0.006	0.087	0.182	0.744	0.262	0.453	0.06	0.507	0.365	0.201	0.098	0.042	0.108	0.002	0.069	0.004
ASV_139	0.469	12.354	0.290639384629114	0.366252883069209	NotSig	0.196	0.141	0.146	0.137	0.164	0.051	0.096	0.068	0.09	0.071	0.081	0.085	0.4	0.432	0.288	0.305	0.524	0.082	0.093	0.158	0.126	0.162	0.21	0.486	0.063	0.118	0.294	0.132	0.103	0.002	0.088	0.005
ASV_150	-0.571	12.172	0.127660621856587	0.203993777193516	NotSig	0.125	0.185	0.087	0.097	0.092	0.075	0.066	0.243	0.216	0.303	0.243	0.198	0.054	0.046	0.054	0.05	0.044	0.123	0.116	0.108	0.128	0.172	0.461	0.345	0.291	0.262	0.31	0.092	0.07	0.111	0.06	0.126
